DASK 2026 Time History Analysis Log
Ground Motion: KYH3 (PGA = 1.896 g)
Model: V9 Twin Towers (1680 nodes, 4248 elements)
dt_analysis = 0.005 s, Nsteps = 6446
Started: 1770468755
================================================

step=1 t=0.005 pct=0% T1_Ux=-0.000001 T1_Uy=-0.000000 T2_Ux=-0.000001 T2_Uy=-0.000000 maxT1_Ux=0.000001 maxT2_Ux=0.000001 elapsed=1s
step=2 t=0.010 pct=0% T1_Ux=-0.000011 T1_Uy=-0.000000 T2_Ux=-0.000011 T2_Uy=-0.000000 maxT1_Ux=0.000011 maxT2_Ux=0.000011 elapsed=2s
step=3 t=0.015 pct=0% T1_Ux=-0.000058 T1_Uy=-0.000000 T2_Ux=-0.000058 T2_Uy=-0.000000 maxT1_Ux=0.000058 maxT2_Ux=0.000058 elapsed=2s
step=4 t=0.020 pct=0% T1_Ux=-0.000198 T1_Uy=-0.000000 T2_Ux=-0.000198 T2_Uy=-0.000000 maxT1_Ux=0.000198 maxT2_Ux=0.000198 elapsed=2s
step=5 t=0.025 pct=0% T1_Ux=-0.000508 T1_Uy=-0.000000 T2_Ux=-0.000508 T2_Uy=-0.000000 maxT1_Ux=0.000508 maxT2_Ux=0.000508 elapsed=3s
step=128 t=0.640 pct=1% T1_Ux=0.025546 T1_Uy=-0.000012 T2_Ux=0.025545 T2_Uy=-0.000011 maxT1_Ux=0.025546 maxT2_Ux=0.025545 elapsed=51s
step=256 t=1.280 pct=3% T1_Ux=0.084654 T1_Uy=0.000091 T2_Ux=0.084677 T2_Uy=0.000091 maxT1_Ux=0.084654 maxT2_Ux=0.084677 elapsed=101s
step=384 t=1.920 pct=5% T1_Ux=0.290997 T1_Uy=0.000050 T2_Ux=0.290962 T2_Uy=0.000059 maxT1_Ux=0.290997 maxT2_Ux=0.290962 elapsed=151s
step=512 t=2.560 pct=7% T1_Ux=-0.405893 T1_Uy=0.000258 T2_Ux=-0.405856 T2_Uy=0.000245 maxT1_Ux=0.405893 maxT2_Ux=0.405856 elapsed=201s
step=640 t=3.200 pct=9% T1_Ux=-0.484265 T1_Uy=0.000014 T2_Ux=-0.484249 T2_Uy=-0.000002 maxT1_Ux=0.484265 maxT2_Ux=0.484249 elapsed=251s
step=768 t=3.840 pct=11% T1_Ux=0.129990 T1_Uy=0.001073 T2_Ux=0.129954 T2_Uy=0.001078 maxT1_Ux=0.484265 maxT2_Ux=0.484249 elapsed=301s
step=896 t=4.480 pct=13% T1_Ux=3.117879 T1_Uy=0.000816 T2_Ux=3.117733 T2_Uy=0.000918 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=351s
step=1024 t=5.120 pct=15% T1_Ux=1.574586 T1_Uy=-0.003666 T2_Ux=1.574439 T2_Uy=-0.003614 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=401s
step=1152 t=5.760 pct=17% T1_Ux=0.922119 T1_Uy=0.002514 T2_Ux=0.922042 T2_Uy=0.002542 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=451s
step=1280 t=6.400 pct=19% T1_Ux=1.125205 T1_Uy=0.001003 T2_Ux=1.125242 T2_Uy=0.001037 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=501s
step=1408 t=7.040 pct=21% T1_Ux=0.576820 T1_Uy=-0.000843 T2_Ux=0.576766 T2_Uy=-0.000824 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=551s
step=1536 t=7.680 pct=23% T1_Ux=-0.458694 T1_Uy=-0.000061 T2_Ux=-0.458707 T2_Uy=-0.000075 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=601s
step=1664 t=8.320 pct=25% T1_Ux=-0.692025 T1_Uy=-0.001001 T2_Ux=-0.691949 T2_Uy=-0.001024 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=652s
step=1792 t=8.960 pct=27% T1_Ux=1.091167 T1_Uy=-0.000245 T2_Ux=1.090975 T2_Uy=-0.000208 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=701s
step=1920 t=9.600 pct=29% T1_Ux=-0.647679 T1_Uy=-0.000994 T2_Ux=-0.647612 T2_Uy=-0.001015 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=751s
step=2048 t=10.240 pct=31% T1_Ux=0.447748 T1_Uy=-0.000257 T2_Ux=0.447719 T2_Uy=-0.000242 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=801s
step=2176 t=10.880 pct=33% T1_Ux=-0.259092 T1_Uy=-0.000735 T2_Ux=-0.259072 T2_Uy=-0.000744 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=852s
step=2304 t=11.520 pct=35% T1_Ux=0.698303 T1_Uy=0.000298 T2_Ux=0.698275 T2_Uy=0.000322 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=903s
step=2432 t=12.160 pct=37% T1_Ux=0.512128 T1_Uy=-0.000348 T2_Ux=0.512053 T2_Uy=-0.000331 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=953s
step=2560 t=12.800 pct=39% T1_Ux=-0.689155 T1_Uy=-0.000323 T2_Ux=-0.689128 T2_Uy=-0.000344 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1003s
step=2688 t=13.440 pct=41% T1_Ux=-0.838809 T1_Uy=-0.002637 T2_Ux=-0.838731 T2_Uy=-0.002664 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1053s
step=2816 t=14.080 pct=43% T1_Ux=-0.462505 T1_Uy=0.000650 T2_Ux=-0.462468 T2_Uy=0.000635 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1103s
step=2944 t=14.720 pct=45% T1_Ux=-1.623289 T1_Uy=0.001840 T2_Ux=-1.623183 T2_Uy=0.001787 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1153s
step=3072 t=15.360 pct=47% T1_Ux=1.419532 T1_Uy=0.000100 T2_Ux=1.419386 T2_Uy=0.000147 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1203s
step=3200 t=16.000 pct=49% T1_Ux=-0.785414 T1_Uy=-0.001672 T2_Ux=-0.785282 T2_Uy=-0.001698 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1253s
step=3328 t=16.640 pct=51% T1_Ux=0.164536 T1_Uy=0.000321 T2_Ux=0.164501 T2_Uy=0.000327 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1303s
step=3456 t=17.280 pct=53% T1_Ux=-0.156473 T1_Uy=0.000600 T2_Ux=-0.156492 T2_Uy=0.000595 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1353s
step=3584 t=17.920 pct=55% T1_Ux=-0.463853 T1_Uy=0.000080 T2_Ux=-0.463791 T2_Uy=0.000064 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1403s
step=3712 t=18.560 pct=57% T1_Ux=0.285099 T1_Uy=-0.000607 T2_Ux=0.285077 T2_Uy=-0.000598 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1453s
step=3840 t=19.200 pct=59% T1_Ux=0.048669 T1_Uy=-0.000049 T2_Ux=0.048653 T2_Uy=-0.000047 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1503s
step=3968 t=19.840 pct=61% T1_Ux=-0.447077 T1_Uy=0.000165 T2_Ux=-0.447036 T2_Uy=0.000150 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1554s
step=4096 t=20.480 pct=63% T1_Ux=0.125653 T1_Uy=0.000076 T2_Ux=0.125634 T2_Uy=0.000080 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1604s
step=4224 t=21.120 pct=65% T1_Ux=0.064292 T1_Uy=-0.000092 T2_Ux=0.064289 T2_Uy=-0.000090 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1654s
step=4352 t=21.760 pct=67% T1_Ux=-0.072106 T1_Uy=-0.000365 T2_Ux=-0.072102 T2_Uy=-0.000368 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1704s
step=4480 t=22.400 pct=69% T1_Ux=0.119335 T1_Uy=-0.000160 T2_Ux=0.119333 T2_Uy=-0.000156 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1754s
step=4608 t=23.040 pct=71% T1_Ux=-0.109958 T1_Uy=-0.000055 T2_Ux=-0.109958 T2_Uy=-0.000059 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1804s
step=4736 t=23.680 pct=73% T1_Ux=0.023787 T1_Uy=-0.000030 T2_Ux=0.023790 T2_Uy=-0.000030 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1854s
step=4864 t=24.320 pct=75% T1_Ux=-0.025199 T1_Uy=0.000191 T2_Ux=-0.025200 T2_Uy=0.000190 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1904s
step=4992 t=24.960 pct=77% T1_Ux=0.112053 T1_Uy=0.000024 T2_Ux=0.112045 T2_Uy=0.000028 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=1954s
step=5120 t=25.600 pct=79% T1_Ux=-0.083839 T1_Uy=-0.000052 T2_Ux=-0.083833 T2_Uy=-0.000055 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=2004s
step=5248 t=26.240 pct=81% T1_Ux=-0.011773 T1_Uy=-0.000283 T2_Ux=-0.011769 T2_Uy=-0.000284 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=2054s
step=5376 t=26.880 pct=83% T1_Ux=-0.011172 T1_Uy=0.000139 T2_Ux=-0.011175 T2_Uy=0.000138 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=2104s
step=5504 t=27.520 pct=85% T1_Ux=0.006858 T1_Uy=-0.000087 T2_Ux=0.006862 T2_Uy=-0.000086 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=2154s
step=5632 t=28.160 pct=87% T1_Ux=0.005078 T1_Uy=-0.000118 T2_Ux=0.005083 T2_Uy=-0.000118 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=2204s
step=5760 t=28.800 pct=89% T1_Ux=0.003421 T1_Uy=-0.000026 T2_Ux=0.003421 T2_Uy=-0.000026 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=2254s
step=5888 t=29.440 pct=91% T1_Ux=0.049309 T1_Uy=0.000039 T2_Ux=0.049307 T2_Uy=0.000040 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=2304s
step=6016 t=30.080 pct=93% T1_Ux=-0.010840 T1_Uy=0.000054 T2_Ux=-0.010840 T2_Uy=0.000054 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=2354s
step=6144 t=30.720 pct=95% T1_Ux=-0.132947 T1_Uy=0.000084 T2_Ux=-0.132940 T2_Uy=0.000080 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=2405s
step=6272 t=31.360 pct=97% T1_Ux=0.060309 T1_Uy=0.000063 T2_Ux=0.060301 T2_Uy=0.000065 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=2454s
step=6400 t=32.000 pct=99% T1_Ux=-0.014049 T1_Uy=-0.000004 T2_Ux=-0.014047 T2_Uy=-0.000004 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=2504s
step=6446 t=32.230 pct=100% T1_Ux=0.005611 T1_Uy=-0.000001 T2_Ux=0.005610 T2_Uy=-0.000000 maxT1_Ux=3.117879 maxT2_Ux=3.117733 elapsed=2522s

COMPLETED: 1770471276
Wall time: 2522s
Total failures: 0
