Time [sec]	Acceleration [g]
0.00000	0.00000
0.00100	0.00000
0.00200	0.00001
0.00300	0.00004
0.00400	0.00008
0.00500	0.00016
0.00600	0.00027
0.00700	0.00042
0.00800	0.00062
0.00900	0.00087
0.01000	0.00117
0.01100	0.00153
0.01200	0.00194
0.01300	0.00240
0.01400	0.00292
0.01500	0.00348
0.01600	0.00408
0.01700	0.00472
0.01800	0.00539
0.01900	0.00607
0.02000	0.00676
0.02100	0.00745
0.02200	0.00814
0.02300	0.00880
0.02400	0.00943
0.02500	0.01003
0.02600	0.01059
0.02700	0.01109
0.02800	0.01155
0.02900	0.01194
0.03000	0.01228
0.03100	0.01256
0.03200	0.01277
0.03300	0.01293
0.03400	0.01303
0.03500	0.01307
0.03600	0.01307
0.03700	0.01301
0.03800	0.01292
0.03900	0.01278
0.04000	0.01261
0.04100	0.01242
0.04200	0.01220
0.04300	0.01197
0.04400	0.01172
0.04500	0.01147
0.04600	0.01121
0.04700	0.01096
0.04800	0.01071
0.04900	0.01046
0.05000	0.01022
0.05100	0.01000
0.05200	0.00979
0.05300	0.00959
0.05400	0.00941
0.05500	0.00924
0.05600	0.00909
0.05700	0.00895
0.05800	0.00882
0.05900	0.00871
0.06000	0.00861
0.06100	0.00852
0.06200	0.00845
0.06300	0.00837
0.06400	0.00831
0.06500	0.00825
0.06600	0.00820
0.06700	0.00815
0.06800	0.00810
0.06900	0.00806
0.07000	0.00801
0.07100	0.00797
0.07200	0.00792
0.07300	0.00787
0.07400	0.00782
0.07500	0.00777
0.07600	0.00772
0.07700	0.00767
0.07800	0.00761
0.07900	0.00755
0.08000	0.00749
0.08100	0.00743
0.08200	0.00737
0.08300	0.00730
0.08400	0.00724
0.08500	0.00718
0.08600	0.00712
0.08700	0.00706
0.08800	0.00699
0.08900	0.00694
0.09000	0.00688
0.09100	0.00682
0.09200	0.00677
0.09300	0.00672
0.09400	0.00667
0.09500	0.00662
0.09600	0.00658
0.09700	0.00654
0.09800	0.00650
0.09900	0.00647
0.10000	0.00643
0.10100	0.00640
0.10200	0.00638
0.10300	0.00635
0.10400	0.00633
0.10500	0.00631
0.10600	0.00629
0.10700	0.00627
0.10800	0.00626
0.10900	0.00625
0.11000	0.00624
0.11100	0.00623
0.11200	0.00622
0.11300	0.00621
0.11400	0.00621
0.11500	0.00620
0.11600	0.00620
0.11700	0.00620
0.11800	0.00620
0.11900	0.00620
0.12000	0.00620
0.12100	0.00620
0.12200	0.00620
0.12300	0.00621
0.12400	0.00621
0.12500	0.00622
0.12600	0.00623
0.12700	0.00623
0.12800	0.00624
0.12900	0.00625
0.13000	0.00626
0.13100	0.00627
0.13200	0.00629
0.13300	0.00630
0.13400	0.00631
0.13500	0.00633
0.13600	0.00634
0.13700	0.00636
0.13800	0.00637
0.13900	0.00639
0.14000	0.00641
0.14100	0.00643
0.14200	0.00645
0.14300	0.00647
0.14400	0.00649
0.14500	0.00651
0.14600	0.00653
0.14700	0.00655
0.14800	0.00657
0.14900	0.00660
0.15000	0.00662
0.15100	0.00664
0.15200	0.00666
0.15300	0.00668
0.15400	0.00671
0.15500	0.00673
0.15600	0.00675
0.15700	0.00677
0.15800	0.00679
0.15900	0.00681
0.16000	0.00683
0.16100	0.00685
0.16200	0.00687
0.16300	0.00689
0.16400	0.00691
0.16500	0.00693
0.16600	0.00695
0.16700	0.00696
0.16800	0.00698
0.16900	0.00699
0.17000	0.00701
0.17100	0.00702
0.17200	0.00703
0.17300	0.00705
0.17400	0.00706
0.17500	0.00707
0.17600	0.00707
0.17700	0.00708
0.17800	0.00709
0.17900	0.00709
0.18000	0.00710
0.18100	0.00710
0.18200	0.00710
0.18300	0.00710
0.18400	0.00710
0.18500	0.00709
0.18600	0.00709
0.18700	0.00708
0.18800	0.00707
0.18900	0.00706
0.19000	0.00705
0.19100	0.00703
0.19200	0.00701
0.19300	0.00700
0.19400	0.00697
0.19500	0.00695
0.19600	0.00692
0.19700	0.00690
0.19800	0.00687
0.19900	0.00683
0.20000	0.00680
0.20100	0.00676
0.20200	0.00672
0.20300	0.00668
0.20400	0.00663
0.20500	0.00658
0.20600	0.00653
0.20700	0.00648
0.20800	0.00642
0.20900	0.00636
0.21000	0.00630
0.21100	0.00623
0.21200	0.00616
0.21300	0.00609
0.21400	0.00601
0.21500	0.00593
0.21600	0.00585
0.21700	0.00576
0.21800	0.00567
0.21900	0.00558
0.22000	0.00548
0.22100	0.00538
0.22200	0.00527
0.22300	0.00516
0.22400	0.00505
0.22500	0.00493
0.22600	0.00481
0.22700	0.00468
0.22800	0.00455
0.22900	0.00442
0.23000	0.00428
0.23100	0.00414
0.23200	0.00399
0.23300	0.00384
0.23400	0.00369
0.23500	0.00353
0.23600	0.00336
0.23700	0.00320
0.23800	0.00302
0.23900	0.00285
0.24000	0.00267
0.24100	0.00248
0.24200	0.00229
0.24300	0.00210
0.24400	0.00190
0.24500	0.00169
0.24600	0.00149
0.24700	0.00127
0.24800	0.00106
0.24900	0.00084
0.25000	0.00061
0.25100	0.00038
0.25200	0.00015
0.25300	-0.00009
0.25400	-0.00033
0.25500	-0.00058
0.25600	-0.00083
0.25700	-0.00108
0.25800	-0.00134
0.25900	-0.00161
0.26000	-0.00188
0.26100	-0.00215
0.26200	-0.00243
0.26300	-0.00271
