element_id,node_i,node_j,element_type,tower,connection,length
0,0,21,column,tower1,rigid,9.0
1,1,22,column,tower1,rigid,9.0
2,2,23,column,tower1,rigid,9.0
3,3,24,column,tower1,rigid,9.0
4,4,25,column,tower1,rigid,9.0
5,5,26,column,tower1,rigid,9.0
6,6,27,column,tower1,rigid,9.0
7,7,28,column,tower1,rigid,9.0
8,8,29,column,tower1,rigid,9.0
9,9,30,column,tower1,rigid,9.0
10,10,31,column,tower1,rigid,9.0
11,11,32,column,tower1,rigid,9.0
12,12,33,column,tower1,rigid,9.0
13,13,34,column,tower1,rigid,9.0
14,14,35,column,tower1,rigid,9.0
15,15,36,column,tower1,rigid,9.0
16,16,37,column,tower1,rigid,9.0
17,17,38,column,tower1,rigid,9.0
18,18,39,column,tower1,rigid,9.0
19,19,40,column,tower1,rigid,9.0
20,20,41,column,tower1,rigid,9.0
21,0,3,beam_x,tower1,rigid,2.7
22,1,4,beam_x,tower1,rigid,2.7
23,2,5,beam_x,tower1,rigid,2.7
24,3,6,beam_x,tower1,rigid,8.3
25,4,7,beam_x,tower1,rigid,8.3
26,5,8,beam_x,tower1,rigid,8.3
27,6,9,beam_x,tower1,rigid,3.7
28,7,10,beam_x,tower1,rigid,3.7
29,8,11,beam_x,tower1,rigid,3.7
30,9,12,beam_x,tower1,rigid,3.7
31,10,13,beam_x,tower1,rigid,3.7
32,11,14,beam_x,tower1,rigid,3.7
33,12,15,beam_x,tower1,rigid,8.3
34,13,16,beam_x,tower1,rigid,8.3
35,14,17,beam_x,tower1,rigid,8.3
36,15,18,beam_x,tower1,rigid,2.7
37,16,19,beam_x,tower1,rigid,2.7
38,17,20,beam_x,tower1,rigid,2.7
39,0,1,beam_y,tower1,rigid,7.7
40,3,4,beam_y,tower1,rigid,7.7
41,6,7,beam_y,tower1,rigid,7.7
42,9,10,beam_y,tower1,rigid,7.7
43,12,13,beam_y,tower1,rigid,7.7
44,15,16,beam_y,tower1,rigid,7.7
45,18,19,beam_y,tower1,rigid,7.7
46,1,2,beam_y,tower1,rigid,7.7
47,4,5,beam_y,tower1,rigid,7.7
48,7,8,beam_y,tower1,rigid,7.7
49,10,11,beam_y,tower1,rigid,7.7
50,13,14,beam_y,tower1,rigid,7.7
51,16,17,beam_y,tower1,rigid,7.7
52,19,20,beam_y,tower1,rigid,7.7
53,6,30,brace_xz,tower1,pin,9.7309
54,9,27,brace_xz,tower1,pin,9.7309
55,9,33,brace_xz,tower1,pin,9.7309
56,12,30,brace_xz,tower1,pin,9.7309
57,8,32,brace_xz,tower1,pin,9.7309
58,11,29,brace_xz,tower1,pin,9.7309
59,11,35,brace_xz,tower1,pin,9.7309
60,14,32,brace_xz,tower1,pin,9.7309
61,21,42,column,tower1,rigid,6.0
62,22,43,column,tower1,rigid,6.0
63,23,44,column,tower1,rigid,6.0
64,24,45,column,tower1,rigid,6.0
65,25,46,column,tower1,rigid,6.0
66,26,47,column,tower1,rigid,6.0
67,27,48,column,tower1,rigid,6.0
