node_id,x,y,z,floor,zone,tower
151,16.0,8.0,51.0,8,podium,1
152,16.0,16.0,51.0,8,podium,1
153,24.0,0.0,51.0,8,podium,1
154,24.0,8.0,51.0,8,podium,1
155,24.0,16.0,51.0,8,podium,1
156,32.0,0.0,51.0,8,podium,1
157,32.0,8.0,51.0,8,podium,1
158,32.0,16.0,51.0,8,podium,1
159,40.0,0.0,51.0,8,podium,1
160,40.0,8.0,51.0,8,podium,1
161,40.0,16.0,51.0,8,podium,1
162,0.0,0.0,57.0,9,podium,1
163,0.0,8.0,57.0,9,podium,1
164,0.0,16.0,57.0,9,podium,1
165,8.0,0.0,57.0,9,podium,1
166,8.0,8.0,57.0,9,podium,1
167,8.0,16.0,57.0,9,podium,1
168,16.0,0.0,57.0,9,podium,1
169,16.0,8.0,57.0,9,podium,1
170,16.0,16.0,57.0,9,podium,1
171,24.0,0.0,57.0,9,podium,1
172,24.0,8.0,57.0,9,podium,1
173,24.0,16.0,57.0,9,podium,1
174,32.0,0.0,57.0,9,podium,1
175,32.0,8.0,57.0,9,podium,1
176,32.0,16.0,57.0,9,podium,1
177,40.0,0.0,57.0,9,podium,1
178,40.0,8.0,57.0,9,podium,1
179,40.0,16.0,57.0,9,podium,1
180,0.0,0.0,63.0,10,podium,1
181,0.0,8.0,63.0,10,podium,1
182,0.0,16.0,63.0,10,podium,1
183,8.0,0.0,63.0,10,podium,1
184,8.0,8.0,63.0,10,podium,1
185,8.0,16.0,63.0,10,podium,1
186,16.0,0.0,63.0,10,podium,1
187,16.0,8.0,63.0,10,podium,1
188,16.0,16.0,63.0,10,podium,1
189,24.0,0.0,63.0,10,podium,1
190,24.0,8.0,63.0,10,podium,1
191,24.0,16.0,63.0,10,podium,1
192,32.0,0.0,63.0,10,podium,1
193,32.0,8.0,63.0,10,podium,1
194,32.0,16.0,63.0,10,podium,1
195,40.0,0.0,63.0,10,podium,1
196,40.0,8.0,63.0,10,podium,1
197,40.0,16.0,63.0,10,podium,1
198,0.0,0.0,69.0,11,podium,1
199,0.0,8.0,69.0,11,podium,1
200,0.0,16.0,69.0,11,podium,1
201,8.0,0.0,69.0,11,podium,1
202,8.0,8.0,69.0,11,podium,1
203,8.0,16.0,69.0,11,podium,1
204,16.0,0.0,69.0,11,podium,1
205,16.0,8.0,69.0,11,podium,1
206,16.0,16.0,69.0,11,podium,1
207,24.0,0.0,69.0,11,podium,1
208,24.0,8.0,69.0,11,podium,1
209,24.0,16.0,69.0,11,podium,1
210,32.0,0.0,69.0,11,podium,1
211,32.0,8.0,69.0,11,podium,1
212,32.0,16.0,69.0,11,podium,1
213,40.0,0.0,69.0,11,podium,1
214,40.0,8.0,69.0,11,podium,1
215,40.0,16.0,69.0,11,podium,1
216,0.0,0.0,75.0,12,podium,1
217,0.0,8.0,75.0,12,podium,1
218,0.0,16.0,75.0,12,podium,1
219,8.0,0.0,75.0,12,podium,1
220,8.0,8.0,75.0,12,podium,1
221,8.0,16.0,75.0,12,podium,1
222,16.0,0.0,75.0,12,podium,1
223,16.0,8.0,75.0,12,podium,1
224,16.0,16.0,75.0,12,podium,1
225,24.0,0.0,75.0,12,podium,1
226,24.0,8.0,75.0,12,podium,1
227,24.0,16.0,75.0,12,podium,1
228,32.0,0.0,75.0,12,podium,1
229,32.0,8.0,75.0,12,podium,1
230,32.0,16.0,75.0,12,podium,1
231,40.0,0.0,75.0,12,podium,1
232,40.0,8.0,75.0,12,podium,1
233,40.0,16.0,75.0,12,podium,1
234,12.0,0.0,81.0,13,tower,1
235,12.0,8.0,81.0,13,tower,1
236,12.0,16.0,81.0,13,tower,1
237,19.2,0.0,81.0,13,tower,1
238,19.2,8.0,81.0,13,tower,1
239,19.2,16.0,81.0,13,tower,1
240,20.8,0.0,81.0,13,tower,1
241,20.8,8.0,81.0,13,tower,1
242,20.8,16.0,81.0,13,tower,1
243,28.0,0.0,81.0,13,tower,1
244,28.0,8.0,81.0,13,tower,1
245,28.0,16.0,81.0,13,tower,1
246,12.0,0.0,87.0,14,tower,1
247,12.0,8.0,87.0,14,tower,1
248,12.0,16.0,87.0,14,tower,1
249,19.2,0.0,87.0,14,tower,1
250,19.2,8.0,87.0,14,tower,1
251,19.2,16.0,87.0,14,tower,1
252,20.8,0.0,87.0,14,tower,1
253,20.8,8.0,87.0,14,tower,1
254,20.8,16.0,87.0,14,tower,1
255,28.0,0.0,87.0,14,tower,1
256,28.0,8.0,87.0,14,tower,1
257,28.0,16.0,87.0,14,tower,1
258,12.0,0.0,93.0,15,tower,1
259,12.0,8.0,93.0,15,tower,1
260,12.0,16.0,93.0,15,tower,1
261,19.2,0.0,93.0,15,tower,1
262,19.2,8.0,93.0,15,tower,1
263,19.2,16.0,93.0,15,tower,1
264,20.8,0.0,93.0,15,tower,1
265,20.8,8.0,93.0,15,tower,1
266,20.8,16.0,93.0,15,tower,1
267,28.0,0.0,93.0,15,tower,1
268,28.0,8.0,93.0,15,tower,1
269,28.0,16.0,93.0,15,tower,1
270,12.0,0.0,99.0,16,tower,1
271,12.0,8.0,99.0,16,tower,1
272,12.0,16.0,99.0,16,tower,1
273,19.2,0.0,99.0,16,tower,1
274,19.2,8.0,99.0,16,tower,1
275,19.2,16.0,99.0,16,tower,1
276,20.8,0.0,99.0,16,tower,1
277,20.8,8.0,99.0,16,tower,1
278,20.8,16.0,99.0,16,tower,1
279,28.0,0.0,99.0,16,tower,1
280,28.0,8.0,99.0,16,tower,1
281,28.0,16.0,99.0,16,tower,1
282,12.0,0.0,105.0,17,tower,1
283,12.0,8.0,105.0,17,tower,1
284,12.0,16.0,105.0,17,tower,1
285,19.2,0.0,105.0,17,tower,1
286,19.2,8.0,105.0,17,tower,1
287,19.2,16.0,105.0,17,tower,1
288,20.8,0.0,105.0,17,tower,1
289,20.8,8.0,105.0,17,tower,1
290,20.8,16.0,105.0,17,tower,1
291,28.0,0.0,105.0,17,tower,1
292,28.0,8.0,105.0,17,tower,1
293,28.0,16.0,105.0,17,tower,1
294,12.0,0.0,111.0,18,tower,1
295,12.0,8.0,111.0,18,tower,1
296,12.0,16.0,111.0,18,tower,1
297,19.2,0.0,111.0,18,tower,1
298,19.2,8.0,111.0,18,tower,1
299,19.2,16.0,111.0,18,tower,1
300,20.8,0.0,111.0,18,tower,1
301,20.8,8.0,111.0,18,tower,1
302,20.8,16.0,111.0,18,tower,1
303,28.0,0.0,111.0,18,tower,1
304,28.0,8.0,111.0,18,tower,1
305,28.0,16.0,111.0,18,tower,1
306,12.0,0.0,117.0,19,tower,1
307,12.0,8.0,117.0,19,tower,1
308,12.0,16.0,117.0,19,tower,1
309,19.2,0.0,117.0,19,tower,1
310,19.2,8.0,117.0,19,tower,1
311,19.2,16.0,117.0,19,tower,1
312,20.8,0.0,117.0,19,tower,1
313,20.8,8.0,117.0,19,tower,1
314,20.8,16.0,117.0,19,tower,1
315,28.0,0.0,117.0,19,tower,1
316,28.0,8.0,117.0,19,tower,1
317,28.0,16.0,117.0,19,tower,1
318,12.0,0.0,123.0,20,tower,1
319,12.0,8.0,123.0,20,tower,1
320,12.0,16.0,123.0,20,tower,1
321,19.2,0.0,123.0,20,tower,1
322,19.2,8.0,123.0,20,tower,1
323,19.2,16.0,123.0,20,tower,1
324,20.8,0.0,123.0,20,tower,1
325,20.8,8.0,123.0,20,tower,1
326,20.8,16.0,123.0,20,tower,1
327,28.0,0.0,123.0,20,tower,1
328,28.0,8.0,123.0,20,tower,1
329,28.0,16.0,123.0,20,tower,1
330,12.0,0.0,129.0,21,tower,1
331,12.0,8.0,129.0,21,tower,1
332,12.0,16.0,129.0,21,tower,1
333,19.2,0.0,129.0,21,tower,1
334,19.2,8.0,129.0,21,tower,1
335,19.2,16.0,129.0,21,tower,1
336,20.8,0.0,129.0,21,tower,1
337,20.8,8.0,129.0,21,tower,1
338,20.8,16.0,129.0,21,tower,1
339,28.0,0.0,129.0,21,tower,1
340,28.0,8.0,129.0,21,tower,1
341,28.0,16.0,129.0,21,tower,1
342,12.0,0.0,135.0,22,tower,1
343,12.0,8.0,135.0,22,tower,1
344,12.0,16.0,135.0,22,tower,1
345,19.2,0.0,135.0,22,tower,1
346,19.2,8.0,135.0,22,tower,1
347,19.2,16.0,135.0,22,tower,1
348,20.8,0.0,135.0,22,tower,1
349,20.8,8.0,135.0,22,tower,1
350,20.8,16.0,135.0,22,tower,1
351,28.0,0.0,135.0,22,tower,1
352,28.0,8.0,135.0,22,tower,1
353,28.0,16.0,135.0,22,tower,1
354,12.0,0.0,141.0,23,tower,1
355,12.0,8.0,141.0,23,tower,1
356,12.0,16.0,141.0,23,tower,1
357,19.2,0.0,141.0,23,tower,1
358,19.2,8.0,141.0,23,tower,1
359,19.2,16.0,141.0,23,tower,1
360,20.8,0.0,141.0,23,tower,1
361,20.8,8.0,141.0,23,tower,1
362,20.8,16.0,141.0,23,tower,1
363,28.0,0.0,141.0,23,tower,1
364,28.0,8.0,141.0,23,tower,1
365,28.0,16.0,141.0,23,tower,1
366,12.0,0.0,147.0,24,tower,1
367,12.0,8.0,147.0,24,tower,1
