node_id,x,y,z,floor,zone
167,32.0,0.0,69.0,11,podium
168,32.0,0.0,75.0,12,podium
169,32.0,8.0,0.0,0,podium
170,32.0,8.0,9.0,1,podium
171,32.0,8.0,15.0,2,podium
172,32.0,8.0,21.0,3,podium
173,32.0,8.0,27.0,4,podium
174,32.0,8.0,33.0,5,podium
175,32.0,8.0,39.0,6,podium
176,32.0,8.0,45.0,7,podium
177,32.0,8.0,51.0,8,podium
178,32.0,8.0,57.0,9,podium
179,32.0,8.0,63.0,10,podium
180,32.0,8.0,69.0,11,podium
181,32.0,8.0,75.0,12,podium
182,32.0,16.0,0.0,0,podium
183,32.0,16.0,9.0,1,podium
184,32.0,16.0,15.0,2,podium
185,32.0,16.0,21.0,3,podium
186,32.0,16.0,27.0,4,podium
187,32.0,16.0,33.0,5,podium
188,32.0,16.0,39.0,6,podium
189,32.0,16.0,45.0,7,podium
190,32.0,16.0,51.0,8,podium
191,32.0,16.0,57.0,9,podium
192,32.0,16.0,63.0,10,podium
193,32.0,16.0,69.0,11,podium
194,32.0,16.0,75.0,12,podium
195,40.0,0.0,0.0,0,podium
196,40.0,0.0,9.0,1,podium
197,40.0,0.0,15.0,2,podium
198,40.0,0.0,21.0,3,podium
199,40.0,0.0,27.0,4,podium
200,40.0,0.0,33.0,5,podium
201,40.0,0.0,39.0,6,podium
202,40.0,0.0,45.0,7,podium
203,40.0,0.0,51.0,8,podium
204,40.0,0.0,57.0,9,podium
205,40.0,0.0,63.0,10,podium
206,40.0,0.0,69.0,11,podium
207,40.0,0.0,75.0,12,podium
208,40.0,8.0,0.0,0,podium
209,40.0,8.0,9.0,1,podium
210,40.0,8.0,15.0,2,podium
211,40.0,8.0,21.0,3,podium
212,40.0,8.0,27.0,4,podium
213,40.0,8.0,33.0,5,podium
214,40.0,8.0,39.0,6,podium
215,40.0,8.0,45.0,7,podium
216,40.0,8.0,51.0,8,podium
217,40.0,8.0,57.0,9,podium
218,40.0,8.0,63.0,10,podium
219,40.0,8.0,69.0,11,podium
220,40.0,8.0,75.0,12,podium
221,40.0,16.0,0.0,0,podium
222,40.0,16.0,9.0,1,podium
223,40.0,16.0,15.0,2,podium
224,40.0,16.0,21.0,3,podium
225,40.0,16.0,27.0,4,podium
226,40.0,16.0,33.0,5,podium
227,40.0,16.0,39.0,6,podium
228,40.0,16.0,45.0,7,podium
