mode,T,freq,X%,Y%,type
1,0.13297694127651752,7.520100781387056,2.991388231444267e-24,85.47028097602133,SWAY Y
2,0.07383003284611177,13.544623528535578,78.76284110239153,3.655573621993406e-24,SWAY X
3,0.06759373629346992,14.794270221405231,0.012288901171704478,8.655248255892292e-22,Torsion/Local
4,0.04603430431849891,21.722930644965768,2.388561288244528e-25,12.26135507408984,Sway Y (mod.)
5,0.03413258373806158,29.297518396912047,0.0037675675337651275,2.259898864682031e-22,Torsion/Local
6,0.03001542958538645,33.316198162523314,2.8226112105659866e-27,0.8133760313814414,Torsion/Local
7,0.024171428244640032,41.37115895175735,2.4905774203466913,1.873888816441748e-25,Torsion/Local
8,0.02406752673810644,41.54976167188324,4.1504447358729915e-21,0.0004952064095802294,Torsion/Local
9,0.023508090558776482,42.53854635703967,11.002631123566301,1.5955894673344974e-25,Sway X (mod.)
10,0.022072848698933188,45.30452836603421,1.316180970998265,1.3754650529869876e-24,Torsion/Local
11,0.021303374041824252,46.940921097133774,0.3788242843255194,1.5528847294226666e-26,Torsion/Local
12,0.02112388644645489,47.33977350876286,7.365479658222184e-24,0.3961661544168267,Torsion/Local
