element_id,element_type,is_truss,ni,nj,mid_x,mid_y,mid_z,x1,y1,z1,x2,y2,z2,sigma_axial_kPa,sigma_bending_kPa,sigma_combined_kPa,sigma_combined_MPa
0,column,False,0,21,0.003,0.003,0.045,0.003,0.003,0.0,0.003,0.003,0.09,2.7150260031378326,193.5919204161195,196.30694641925734,0.19630694641925733
1,column,False,1,22,0.003,0.08,0.045,0.003,0.08,0.0,0.003,0.08,0.09,0.5750304873702372,30.808055142393485,31.383085629763723,0.031383085629763725
2,column,False,2,23,0.003,0.157,0.045,0.003,0.157,0.0,0.003,0.157,0.09,-4.015983154419259,268.8148563152096,272.83083946962887,0.2728308394696289
3,column,False,3,24,0.03,0.003,0.045,0.03,0.003,0.0,0.03,0.003,0.09,2.0397167409876413,153.51007562695955,155.5497923679472,0.1555497923679472
4,column,False,4,25,0.03,0.08,0.045,0.03,0.08,0.0,0.03,0.08,0.09,-0.24331500260887584,21.906985769280837,22.150300771889714,0.022150300771889713
5,column,False,5,26,0.03,0.157,0.045,0.03,0.157,0.0,0.03,0.157,0.09,-3.1049488422719387,214.62351683339935,217.7284656756713,0.21772846567567128
6,column,False,6,27,0.113,0.003,0.045,0.113,0.003,0.0,0.113,0.003,0.09,-0.6976092199430888,32.10526778852479,32.80287700846788,0.03280287700846788
7,column,False,7,28,0.113,0.08,0.045,0.113,0.08,0.0,0.113,0.08,0.09,0.06913554479657227,6.277805880567224,6.346941425363797,0.006346941425363797
8,column,False,8,29,0.113,0.157,0.045,0.113,0.157,0.0,0.113,0.157,0.09,0.7348880064896479,33.806393989886566,34.54128199637621,0.03454128199637621
9,column,False,9,30,0.15,0.003,0.045,0.15,0.003,0.0,0.15,0.003,0.09,-0.08244911750471007,4.5130834478386594,4.59553256534337,0.00459553256534337
10,column,False,10,31,0.15,0.08,0.045,0.15,0.08,0.0,0.15,0.08,0.09,-0.01314375388959706,1.0993511224908068,1.112494876380404,0.001112494876380404
11,column,False,11,32,0.15,0.157,0.045,0.15,0.157,0.0,0.15,0.157,0.09,0.08066238901912857,4.539845271888875,4.620507660908003,0.004620507660908003
12,column,False,12,33,0.187,0.003,0.045,0.187,0.003,0.0,0.187,0.003,0.09,0.5615028172562244,26.662330691730364,27.223833508986587,0.02722383350898659
13,column,False,13,34,0.187,0.08,0.045,0.187,0.08,0.0,0.187,0.08,0.09,-0.03409085621750625,2.9572353085959024,2.9913261648134086,0.0029913261648134085
14,column,False,14,35,0.187,0.157,0.045,0.187,0.157,0.0,0.187,0.157,0.09,-0.6014018633925218,30.13150561944919,30.73290748284171,0.03073290748284171
15,column,False,15,36,0.27,0.003,0.045,0.27,0.003,0.0,0.27,0.003,0.09,-2.2983880840452864,164.06473637497982,166.3631244590251,0.1663631244590251
16,column,False,16,37,0.27,0.08,0.045,0.27,0.08,0.0,0.27,0.08,0.09,0.2364760634941667,21.46128251149176,21.697758574985926,0.021697758574985924
17,column,False,17,38,0.27,0.157,0.045,0.27,0.157,0.0,0.27,0.157,0.09,3.3697771734024697,225.19942325347407,228.56920042687653,0.22856920042687653
18,column,False,18,39,0.297,0.003,0.045,0.297,0.003,0.0,0.297,0.003,0.09,-2.9810794222182713,204.5865779406822,207.56765736290046,0.20756765736290045
19,column,False,19,40,0.297,0.08,0.045,0.297,0.08,0.0,0.297,0.08,0.09,-0.5622523714620273,30.256688511990177,30.818940883452203,0.030818940883452203
20,column,False,20,41,0.297,0.157,0.045,0.297,0.157,0.0,0.297,0.157,0.09,4.287125626541701,279.765770467194,284.0528960937357,0.2840528960937357
21,beam_x,False,0,3,0.0165,0.003,0.0,0.003,0.003,0.0,0.03,0.003,0.0,0.0,0.0,0.0,0.0
22,beam_x,False,1,4,0.0165,0.08,0.0,0.003,0.08,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0
23,beam_x,False,2,5,0.0165,0.157,0.0,0.003,0.157,0.0,0.03,0.157,0.0,0.0,0.0,0.0,0.0
24,beam_x,False,3,6,0.07150000000000001,0.003,0.0,0.03,0.003,0.0,0.113,0.003,0.0,0.0,0.0,0.0,0.0
25,beam_x,False,4,7,0.07150000000000001,0.08,0.0,0.03,0.08,0.0,0.113,0.08,0.0,0.0,0.0,0.0,0.0
26,beam_x,False,5,8,0.07150000000000001,0.157,0.0,0.03,0.157,0.0,0.113,0.157,0.0,0.0,0.0,0.0,0.0
27,beam_x,False,6,9,0.1315,0.003,0.0,0.113,0.003,0.0,0.15,0.003,0.0,0.0,0.0,0.0,0.0
28,beam_x,False,7,10,0.1315,0.08,0.0,0.113,0.08,0.0,0.15,0.08,0.0,0.0,0.0,0.0,0.0
29,beam_x,False,8,11,0.1315,0.157,0.0,0.113,0.157,0.0,0.15,0.157,0.0,0.0,0.0,0.0,0.0
30,beam_x,False,9,12,0.16849999999999998,0.003,0.0,0.15,0.003,0.0,0.187,0.003,0.0,0.0,0.0,0.0,0.0
31,beam_x,False,10,13,0.16849999999999998,0.08,0.0,0.15,0.08,0.0,0.187,0.08,0.0,0.0,0.0,0.0,0.0
32,beam_x,False,11,14,0.16849999999999998,0.157,0.0,0.15,0.157,0.0,0.187,0.157,0.0,0.0,0.0,0.0,0.0
33,beam_x,False,12,15,0.2285,0.003,0.0,0.187,0.003,0.0,0.27,0.003,0.0,0.0,0.0,0.0,0.0
34,beam_x,False,13,16,0.2285,0.08,0.0,0.187,0.08,0.0,0.27,0.08,0.0,0.0,0.0,0.0,0.0
35,beam_x,False,14,17,0.2285,0.157,0.0,0.187,0.157,0.0,0.27,0.157,0.0,0.0,0.0,0.0,0.0
36,beam_x,False,15,18,0.2835,0.003,0.0,0.27,0.003,0.0,0.297,0.003,0.0,0.0,0.0,0.0,0.0
37,beam_x,False,16,19,0.2835,0.08,0.0,0.27,0.08,0.0,0.297,0.08,0.0,0.0,0.0,0.0,0.0
38,beam_x,False,17,20,0.2835,0.157,0.0,0.27,0.157,0.0,0.297,0.157,0.0,0.0,0.0,0.0,0.0
39,beam_y,False,0,1,0.003,0.0415,0.0,0.003,0.003,0.0,0.003,0.08,0.0,0.0,0.0,0.0,0.0
40,beam_y,False,3,4,0.03,0.0415,0.0,0.03,0.003,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0
41,beam_y,False,6,7,0.113,0.0415,0.0,0.113,0.003,0.0,0.113,0.08,0.0,0.0,0.0,0.0,0.0
42,beam_y,False,9,10,0.15,0.0415,0.0,0.15,0.003,0.0,0.15,0.08,0.0,0.0,0.0,0.0,0.0
43,beam_y,False,12,13,0.187,0.0415,0.0,0.187,0.003,0.0,0.187,0.08,0.0,0.0,0.0,0.0,0.0
44,beam_y,False,15,16,0.27,0.0415,0.0,0.27,0.003,0.0,0.27,0.08,0.0,0.0,0.0,0.0,0.0
45,beam_y,False,18,19,0.297,0.0415,0.0,0.297,0.003,0.0,0.297,0.08,0.0,0.0,0.0,0.0,0.0
46,beam_y,False,1,2,0.003,0.1185,0.0,0.003,0.08,0.0,0.003,0.157,0.0,0.0,0.0,0.0,0.0
47,beam_y,False,4,5,0.03,0.1185,0.0,0.03,0.08,0.0,0.03,0.157,0.0,0.0,0.0,0.0,0.0
48,beam_y,False,7,8,0.113,0.1185,0.0,0.113,0.08,0.0,0.113,0.157,0.0,0.0,0.0,0.0,0.0
49,beam_y,False,10,11,0.15,0.1185,0.0,0.15,0.08,0.0,0.15,0.157,0.0,0.0,0.0,0.0,0.0
50,beam_y,False,13,14,0.187,0.1185,0.0,0.187,0.08,0.0,0.187,0.157,0.0,0.0,0.0,0.0,0.0
51,beam_y,False,16,17,0.27,0.1185,0.0,0.27,0.08,0.0,0.27,0.157,0.0,0.0,0.0,0.0,0.0
52,beam_y,False,19,20,0.297,0.1185,0.0,0.297,0.08,0.0,0.297,0.157,0.0,0.0,0.0,0.0,0.0
53,brace_xz,True,6,30,0.1315,0.003,0.045,0.113,0.003,0.0,0.15,0.003,0.09,753.9361603594114,0.0,753.9361603594114,0.7539361603594114
54,brace_xz,True,9,27,0.1315,0.003,0.045,0.15,0.003,0.0,0.113,0.003,0.09,691.7091450073406,0.0,691.7091450073406,0.6917091450073406
55,brace_xz,True,9,33,0.16849999999999998,0.003,0.045,0.15,0.003,0.0,0.187,0.003,0.09,700.4005207108823,0.0,700.4005207108823,0.7004005207108823
56,brace_xz,True,12,30,0.16849999999999998,0.003,0.045,0.187,0.003,0.0,0.15,0.003,0.09,732.4178341076988,0.0,732.4178341076988,0.7324178341076988
57,brace_xz,True,8,32,0.1315,0.157,0.045,0.113,0.157,0.0,0.15,0.157,0.09,-685.4333964902214,0.0,685.4333964902214,0.6854333964902214
58,brace_xz,True,11,29,0.1315,0.157,0.045,0.15,0.157,0.0,0.113,0.157,0.09,-628.4899340027788,0.0,628.4899340027788,0.6284899340027787
59,brace_xz,True,11,35,0.16849999999999998,0.157,0.045,0.15,0.157,0.0,0.187,0.157,0.09,-635.8760644969504,0.0,635.8760644969504,0.6358760644969504
60,brace_xz,True,14,32,0.16849999999999998,0.157,0.045,0.187,0.157,0.0,0.15,0.157,0.09,-663.067216030683,0.0,663.067216030683,0.663067216030683
61,column,False,21,42,0.003,0.003,0.12,0.003,0.003,0.09,0.003,0.003,0.15,25.810123671842987,829.5925360499147,855.4026597217577,0.8554026597217577
62,column,False,22,43,0.003,0.08,0.12,0.003,0.08,0.09,0.003,0.08,0.15,-1.1761324945301517,36.76877284708535,37.9449053416155,0.0379449053416155
63,column,False,23,44,0.003,0.157,0.12,0.003,0.157,0.09,0.003,0.157,0.15,-27.060333200097034,830.6846016079005,857.7449348079975,0.8577449348079975
64,column,False,24,45,0.03,0.003,0.12,0.03,0.003,0.09,0.03,0.003,0.15,22.418279320676863,722.4177557260003,744.8360350466772,0.7448360350466773
65,column,False,25,46,0.03,0.08,0.12,0.03,0.08,0.09,0.03,0.08,0.15,-0.24331500260887592,14.590264621748897,14.833579624357773,0.014833579624357773
66,column,False,26,47,0.03,0.157,0.12,0.03,0.157,0.09,0.03,0.157,0.15,-23.419861128322903,723.6946528252449,747.1145139535678,0.7471145139535678
67,column,False,27,48,0.113,0.003,0.12,0.113,0.003,0.09,0.113,0.003,0.15,-1.5380764307029742,46.26794745917989,47.80602388988286,0.04780602388988286
68,column,False,28,49,0.113,0.08,0.12,0.113,0.08,0.09,0.113,0.08,0.15,0.06913554479657211,4.09252583892694,4.161661383723512,0.004161661383723512
69,column,False,29,50,0.113,0.157,0.12,0.113,0.157,0.09,0.113,0.157,0.15,1.6357768069163074,51.73699845838959,53.3727752653059,0.0533727752653059
70,column,False,30,51,0.15,0.003,0.12,0.15,0.003,0.09,0.15,0.003,0.15,-0.1278389363263284,4.714693322302207,4.842532258628535,0.0048425322586285345
71,column,False,31,52,0.15,0.08,0.12,0.15,0.08,0.09,0.15,0.08,0.15,-0.013143753889597053,0.8722119609702752,0.8853557148598723,0.0008853557148598722
72,column,False,32,53,0.15,0.157,0.12,0.15,0.157,0.09,0.15,0.157,0.15,0.12963555435526158,4.9229192339685035,5.052554788323765,0.0050525547883237655
73,column,False,33,54,0.187,0.003,0.12,0.187,0.003,0.09,0.187,0.003,0.15,1.3653641343974636,42.41845063656155,43.78381477095902,0.043783814770959016
74,column,False,34,55,0.187,0.08,0.12,0.187,0.08,0.09,0.187,0.08,0.15,-0.03409085621750631,2.1807450438235474,2.2148359000410536,0.0022148359000410535
75,column,False,35,56,0.187,0.157,0.12,0.187,0.157,0.09,0.187,0.157,0.15,-1.4676531118480454,44.967284887991774,46.43493799983982,0.04643493799983982
76,column,False,36,57,0.27,0.003,0.12,0.27,0.003,0.09,0.27,0.003,0.15,-22.839613452441405,733.8060270673589,756.6456405198003,0.7566456405198003
77,column,False,37,58,0.27,0.08,0.12,0.27,0.08,0.09,0.27,0.08,0.15,0.23647606349416683,14.01012701265735,14.246603076151516,0.014246603076151516
78,column,False,38,59,0.27,0.157,0.12,0.27,0.157,0.09,0.27,0.157,0.15,23.934702490091997,738.611595258729,762.5462977488211,0.7625462977488211
79,column,False,39,60,0.297,0.003,0.12,0.297,0.003,0.09,0.297,0.003,0.15,-26.25120212894921,841.4621074918713,867.7133096208205,0.8677133096208205
80,column,False,40,61,0.297,0.08,0.12,0.297,0.08,0.09,0.297,0.08,0.15,1.1295768065413316,34.552204275353574,35.681781081894904,0.0356817810818949
81,column,False,41,62,0.297,0.157,0.12,0.297,0.157,0.09,0.297,0.157,0.15,27.61148165315002,846.7857305740661,874.3972122272161,0.8743972122272161
82,beam_x,False,21,24,0.0165,0.003,0.09,0.003,0.003,0.09,0.03,0.003,0.09,-21.835546992574578,984.718326567223,1006.5538735597976,1.0065538735597976
83,beam_x,False,23,26,0.0165,0.157,0.09,0.003,0.157,0.09,0.03,0.157,0.09,23.535962351447683,1160.1986732377113,1183.734635589159,1.1837346355891591
84,beam_x,False,24,27,0.07150000000000001,0.003,0.09,0.03,0.003,0.09,0.113,0.003,0.09,324.48925264557886,208.5292474256228,533.0185000712016,0.5330185000712017
85,beam_x,False,26,29,0.07150000000000001,0.157,0.09,0.03,0.157,0.09,0.113,0.157,0.09,-293.41680556322234,264.0781415301414,557.4949470933637,0.5574949470933638
86,beam_x,False,27,30,0.1315,0.003,0.09,0.113,0.003,0.09,0.15,0.003,0.09,333.39093813978246,65.15513735916925,398.5460754989517,0.3985460754989517
87,beam_x,False,29,32,0.1315,0.157,0.09,0.113,0.157,0.09,0.15,0.157,0.09,-297.9819534470096,65.53496150731327,363.51691495432283,0.3635169149543228
88,beam_x,False,30,33,0.16849999999999998,0.003,0.09,0.15,0.003,0.09,0.187,0.003,0.09,330.83932863674664,65.07301721884672,395.91234585559334,0.3959123458555933
89,beam_x,False,32,35,0.16849999999999998,0.157,0.09,0.15,0.157,0.09,0.187,0.157,0.09,-294.5400732517062,65.41052069855255,359.95059395025874,0.35995059395025875
90,beam_x,False,33,36,0.2285,0.003,0.09,0.187,0.003,0.09,0.27,0.003,0.09,311.209367887185,210.27844678380495,521.48781467099,0.52148781467099
91,beam_x,False,35,38,0.2285,0.157,0.09,0.187,0.157,0.09,0.27,0.157,0.09,-277.4849638319521,265.9149455148627,543.3999093468149,0.5433999093468148
92,beam_x,False,36,39,0.2835,0.003,0.09,0.27,0.003,0.09,0.297,0.003,0.09,-21.98193623383574,1010.9139632386127,1032.8958994724485,1.0328958994724484
93,beam_x,False,38,41,0.2835,0.157,0.09,0.27,0.157,0.09,0.297,0.157,0.09,23.72799873169641,1188.5849229125754,1212.312921644272,1.2123129216442718
94,beam_y,False,21,22,0.003,0.0415,0.09,0.003,0.003,0.09,0.003,0.08,0.09,-1.2595506761306232,83.3731313490745,84.63268202520513,0.08463268202520513
95,beam_y,False,39,40,0.297,0.0415,0.09,0.297,0.003,0.09,0.297,0.08,0.09,1.288186472909007,86.36483555097108,87.65302202388008,0.08765302202388009
