node_id	x	z	floor
531	15.6	99.0	16
532	19.0	99.0	16
535	19.0	99.0	16
536	27.0	99.0	16
539	27.0	99.0	16
540	30.0	99.0	16
543	30.0	99.0	16
544	0.0	105.0	17
547	0.0	105.0	17
548	3.0	105.0	17
551	3.0	105.0	17
552	11.0	105.0	17
555	11.0	105.0	17
556	14.4	105.0	17
559	14.4	105.0	17
560	15.6	105.0	17
563	15.6	105.0	17
564	19.0	105.0	17
567	19.0	105.0	17
568	27.0	105.0	17
571	27.0	105.0	17
572	30.0	105.0	17
575	30.0	105.0	17
576	0.0	111.0	18
579	0.0	111.0	18
580	3.0	111.0	18
583	3.0	111.0	18
584	11.0	111.0	18
587	11.0	111.0	18
588	14.4	111.0	18
591	14.4	111.0	18
592	15.6	111.0	18
595	15.6	111.0	18
596	19.0	111.0	18
599	19.0	111.0	18
600	27.0	111.0	18
603	27.0	111.0	18
604	30.0	111.0	18
607	30.0	111.0	18
608	0.0	117.0	19
611	0.0	117.0	19
612	3.0	117.0	19
615	3.0	117.0	19
616	11.0	117.0	19
619	11.0	117.0	19
620	14.4	117.0	19
623	14.4	117.0	19
624	15.6	117.0	19
627	15.6	117.0	19
628	19.0	117.0	19
631	19.0	117.0	19
632	27.0	117.0	19
635	27.0	117.0	19
636	30.0	117.0	19
639	30.0	117.0	19
640	0.0	123.0	20
643	0.0	123.0	20
644	3.0	123.0	20
647	3.0	123.0	20
648	11.0	123.0	20
651	11.0	123.0	20
652	14.4	123.0	20
655	14.4	123.0	20
656	15.6	123.0	20
659	15.6	123.0	20
660	19.0	123.0	20
663	19.0	123.0	20
664	27.0	123.0	20
667	27.0	123.0	20
668	30.0	123.0	20
671	30.0	123.0	20
672	0.0	129.0	21
675	0.0	129.0	21
676	3.0	129.0	21
679	3.0	129.0	21
680	11.0	129.0	21
683	11.0	129.0	21
684	14.4	129.0	21
687	14.4	129.0	21
688	15.6	129.0	21
691	15.6	129.0	21
692	19.0	129.0	21
695	19.0	129.0	21
696	27.0	129.0	21
699	27.0	129.0	21
700	30.0	129.0	21
703	30.0	129.0	21
704	0.0	135.0	22
707	0.0	135.0	22
708	3.0	135.0	22
711	3.0	135.0	22
712	11.0	135.0	22
715	11.0	135.0	22
716	14.4	135.0	22
719	14.4	135.0	22
720	15.6	135.0	22
723	15.6	135.0	22
724	19.0	135.0	22
727	19.0	135.0	22
728	27.0	135.0	22
731	27.0	135.0	22
732	30.0	135.0	22
735	30.0	135.0	22
736	0.0	141.0	23
739	0.0	141.0	23
740	3.0	141.0	23
743	3.0	141.0	23
