mode,period_s,frequency_hz
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,4388934.909201479,2.2784571215751742e-07
7,4140965.3935130243,2.414895815276643e-07
8,3504039.4720712407,2.853849130326432e-07
9,1554691.863436927,6.432142751357298e-07
10,1474427.932772175,6.782291475717163e-07
