Period,Sae
0.001,0.8385245901639343
0.003001001001001001,0.878793915226702
0.005002002002002002,0.9190632402894697
0.007003003003003003,0.9593325653522374
0.009004004004004005,0.9996018904150051
0.011005005005005005,1.0398712154777727
0.013006006006006005,1.0801405405405407
0.015007007007007009,1.1204098656033084
0.01700800800800801,1.1606791906660758
0.01900900900900901,1.2009485157288435
0.02101001001001001,1.241217840791611
0.023011011011011013,1.281487165854379
0.025012012012012013,1.3217564909171466
0.027013013013013013,1.3620258159799143
0.029014014014014017,1.4022951410426818
0.031015015015015017,1.4425644661054495
0.03301601601601602,1.4828337911682172
0.03501701701701702,1.5231031162309852
0.03701801801801802,1.5633724412937526
0.03901901901901902,1.6036417663565203
0.04102002002002002,1.6439110914192878
0.043021021021021025,1.6841804164820557
0.045022022022022025,1.7244497415448234
0.047023023023023025,1.764719066607591
0.049024024024024025,1.8049883916703586
0.051025025025025025,1.8452577167331263
0.053026026026026025,1.885527041795894
0.055027027027027026,1.9257963668586617
0.05702802802802803,1.9660656919214297
0.05902902902902903,2.006335016984197
0.06103003003003003,2.046
0.06303103103103103,2.046
0.06503203203203203,2.046
0.06703303303303304,2.046
0.06903403403403403,2.046
0.07103503503503504,2.046
0.07303603603603603,2.046
0.07503703703703704,2.046
0.07703803803803803,2.046
0.07903903903903904,2.046
0.08104004004004003,2.046
0.08304104104104104,2.046
0.08504204204204205,2.046
0.08704304304304304,2.046
0.08904404404404405,2.046
0.09104504504504504,2.046
0.09304604604604605,2.046
0.09504704704704704,2.046
0.09704804804804805,2.046
0.09904904904904906,2.046
0.10105005005005005,2.046
0.10305105105105106,2.046
0.10505205205205205,2.046
0.10705305305305306,2.046
0.10905405405405405,2.046
0.11105505505505506,2.046
0.11305605605605606,2.046
0.11505705705705706,2.046
0.11705805805805806,2.046
0.11905905905905906,2.046
0.12106006006006007,2.046
0.12306106106106106,2.046
0.12506206206206205,2.046
0.12706306306306306,2.046
0.12906406406406407,2.046
0.13106506506506507,2.046
0.13306606606606608,2.046
0.13506706706706706,2.046
0.13706806806806807,2.046
0.13906906906906907,2.046
0.14107007007007008,2.046
0.14307107107107106,2.046
0.14507207207207207,2.046
0.14707307307307307,2.046
0.14907407407407408,2.046
0.1510750750750751,2.046
0.15307607607607607,2.046
0.15507707707707707,2.046
0.15707807807807808,2.046
0.1590790790790791,2.046
0.16108008008008007,2.046
0.16308108108108108,2.046
0.16508208208208208,2.046
0.1670830830830831,2.046
0.1690840840840841,2.046
0.17108508508508508,2.046
0.17308608608608608,2.046
0.1750870870870871,2.046
0.1770880880880881,2.046
0.1790890890890891,2.046
0.18109009009009008,2.046
0.1830910910910911,2.046
0.1850920920920921,2.046
0.1870930930930931,2.046
0.18909409409409408,2.046
0.1910950950950951,2.046
0.1930960960960961,2.046
0.1950970970970971,2.046
0.1970980980980981,2.046
0.1990990990990991,2.046
0.2011001001001001,2.046
0.2031011011011011,2.046
0.2051021021021021,2.046
0.2071031031031031,2.046
0.2091041041041041,2.046
0.2111051051051051,2.046
0.2131061061061061,2.046
0.21510710710710712,2.046
0.2171081081081081,2.046
0.2191091091091091,2.046
0.22111011011011011,2.046
0.22311111111111112,2.046
0.22511211211211213,2.046
0.2271131131131131,2.046
0.22911411411411411,2.046
0.23111511511511512,2.046
0.23311611611611613,2.046
0.2351171171171171,2.046
0.23711811811811812,2.046
0.23911911911911912,2.046
0.24112012012012013,2.046
0.24312112112112114,2.046
0.24512212212212212,2.046
0.24712312312312312,2.046
0.24912412412412413,2.046
0.25112512512512514,2.046
0.2531261261261261,2.046
0.25512712712712715,2.046
0.25712812812812813,2.046
0.2591291291291291,2.046
0.26113013013013014,2.046
0.2631311311311311,2.046
0.26513213213213216,2.046
0.26713313313313314,2.046
0.2691341341341341,2.046
0.27113513513513515,2.046
0.27313613613613613,2.046
0.27513713713713717,2.046
0.27713813813813815,2.046
0.2791391391391391,2.046
0.28114014014014016,2.046
0.28314114114114114,2.046
0.2851421421421421,2.046
0.28714314314314315,2.046
0.28914414414414413,2.046
0.29114514514514517,2.046
0.29314614614614615,2.046
0.2951471471471471,2.046
0.29714814814814816,2.046
0.29914914914914914,2.046
0.3011501501501502,2.046
0.30315115115115115,2.0418856984361793
0.30515215215215213,2.028496262059328
0.30715315315315317,2.015281281163841
0.30915415415415415,2.002237368259159
0.3111551551551552,1.9893612229928836
0.31315615615615616,1.976649629366807
0.31515715715715714,1.9640994530589948
0.3171581581581582,1.951707638847245
0.31915915915915916,1.9394712081294694
0.32116016016016014,1.9273872565367678
0.32316116116116117,1.9154529516351855
0.32516216216216215,1.9036655307123265
0.3271631631631632,1.892022298645192
0.32916416416416416,1.880520625845789
0.33116516516516514,1.8691579462812167
0.3331661661661662,1.8579317555651031
0.33516716716716716,1.8468396091174082
0.3371681681681682,1.8358791203897502
0.33916916916916917,1.8250479591535578
0.34117017017017015,1.8143438498484579
0.3431711711711712,1.803764569988449
0.34517217217217216,1.7933079486235126
0.3471731731731732,1.7829718648544226
0.3491741741741742,1.772754246398624
0.35117517517517516,1.76265306820514
0.3531761761761762,1.7526663511165654
0.3551771771771772,1.742792160576289
0.3571781781781782,1.7330286053791675
0.3591791791791792,1.7233738364639652
0.36118018018018017,1.713826045745928
0.3631811811811812,1.7043834649879552
0.3651821821821822,1.6950443647088815
0.36718318318318316,1.6858070531274536
0.3691841841841842,1.676669875140653
0.3711851851851852,1.6676312113350629
0.3731861861861862,1.658689477030039
0.3751871871871872,1.6498431213515041
0.37718818818818817,1.6410906263352185
0.3791891891891892,1.632430506058446
