z	phi_x	phi_y
0.0	0.000000	0.000000
9.0	0.162670	-0.008694
15.0	0.287891	-0.015203
21.0	0.429046	-0.021278
27.0	0.557293	-0.025872
33.0	0.682732	-0.030253
39.0	0.797361	-0.033349
45.0	0.871865	-0.036978
51.0	0.939668	-0.039723
57.0	0.995761	-0.041322
63.0	1.000000	-0.041384
69.0	0.990214	-0.040909
75.0	0.970063	-0.040402
81.0	0.911669	-0.037890
87.0	0.835106	-0.034405
93.0	0.742564	-0.030344
99.0	0.608424	-0.024964
105.0	0.464956	-0.019016
111.0	0.320754	-0.015954
117.0	0.160723	-0.009212
123.0	-0.010139	-0.001622
129.0	-0.185812	0.006205
135.0	-0.354780	0.014060
141.0	-0.521638	0.022165
147.0	-0.676032	0.026654
153.0	-0.800341	0.028428
