z	phi_x	phi_y
0.0	0.000000	0.000000
9.0	-0.019188	0.001954
15.0	-0.035238	0.002312
21.0	-0.054068	0.001968
27.0	-0.070765	0.001001
33.0	-0.090563	-0.000089
39.0	-0.113950	-0.001337
45.0	-0.132928	-0.002570
51.0	-0.155328	-0.004007
57.0	-0.178508	-0.005330
63.0	-0.188828	-0.006253
69.0	-0.204150	-0.007470
75.0	-0.228455	-0.010664
81.0	-0.268707	-0.014260
87.0	-0.316254	-0.018128
93.0	-0.363659	-0.021206
99.0	-0.386036	-0.021570
105.0	-0.426163	-0.020989
111.0	-0.494451	-0.025312
117.0	-0.554434	-0.032123
123.0	-0.637901	-0.039573
129.0	-0.725811	-0.045629
135.0	-0.758117	-0.046980
141.0	-0.806257	-0.047773
147.0	-0.878811	-0.056880
153.0	-1.000000	-0.053596
