elem_id,n1,n2,x_mid,y_mid,z_mid,x1,y1,z1,x2,y2,z2,length,orientation,element_type,N_max,V_max,M_max,sigma_axial,sigma_bending,sigma_combined,tau_shear,utilization,shear_utilization
23,92,131,20000.0,8000.0,9000.0,16000.0,8000.0,9000.0,24000.0,8000.0,9000.0,8000.0,x-direction,beam_x,9.878871748643357e-06,3.138419815695848e-11,0.19550904940491165,2.744131041289821e-07,0.005430806927914212,0.005431081341018341,1.3076749232066032e-12,0.00036207208940122277,5.230699692826413e-13
24,131,170,28000.0,8000.0,9000.0,24000.0,8000.0,9000.0,32000.0,8000.0,9000.0,8000.0,x-direction,beam_x,3.2623157175461955e-06,7.528271923860421e-05,0.3962494779588488,9.061988104294987e-08,0.011006929943301356,0.0110070205631824,3.1367799682751755e-06,0.0009172517135985332,1.2547119873100702e-06
25,170,209,36000.0,8000.0,9000.0,32000.0,8000.0,9000.0,40000.0,8000.0,9000.0,8000.0,x-direction,beam_x,6.940236250747966e-07,1.51296318681669e-06,0.009273666582876358,1.927843402985546e-08,0.0002576018495243433,0.00025762112795837315,6.304013278402875e-08,2.1468427329864428e-05,2.52160531136115e-08
26,27,66,4000.0,16000.0,9000.0,0.0,16000.0,9000.0,8000.0,16000.0,9000.0,8000.0,x-direction,beam_x,0.0006924323335759699,1.702076635030741e-06,0.010640487295832925,1.9234231488221386e-05,0.00029556909155091456,0.0003148033230391359,7.091985979294754e-08,2.6233610253261326e-05,2.836794391717902e-08
27,66,105,12000.0,16000.0,9000.0,8000.0,16000.0,9000.0,16000.0,16000.0,9000.0,8000.0,x-direction,beam_x,0.005990953008240207,7.102978386018507e-05,0.38490397163205475,0.00016641536134000577,0.010691776989779299,0.010858192351119305,2.9595743275077113e-06,0.0007238794900746203,1.1838297310030844e-06
28,105,144,20000.0,16000.0,9000.0,16000.0,16000.0,9000.0,24000.0,16000.0,9000.0,8000.0,x-direction,beam_x,0.09232562083940132,1.1003373090556924e-10,0.19543993850206123,0.002564600578872259,0.005428887180612812,0.00799348775948507,4.584738787732051e-12,0.0006661239799570892,1.8338955150928206e-12
29,144,183,28000.0,16000.0,9000.0,24000.0,16000.0,9000.0,32000.0,16000.0,9000.0,8000.0,x-direction,beam_x,0.0059920272844840115,7.102976775944825e-05,0.3849038748670956,0.0001664452023467781,0.010691774301863766,0.010858219504210544,2.959573656643677e-06,0.0007238813002807029,1.1838294626574707e-06
30,183,222,36000.0,16000.0,9000.0,32000.0,16000.0,9000.0,40000.0,16000.0,9000.0,8000.0,x-direction,beam_x,0.000692560168419097,1.7020751321011181e-06,0.01064047660954695,1.9237782456086027e-05,0.0002955687947096375,0.0003148065771657236,7.091979717087992e-08,2.6233881430476965e-05,2.8367918868351966e-08
31,2,41,4000.0,0.0,15000.0,0.0,0.0,15000.0,8000.0,0.0,15000.0,8000.0,x-direction,beam_x,0.09105623275107762,1.2007900797375077e-05,0.07264187054303407,0.002529339798641045,0.0020178297373065024,0.004547169535947547,5.003291998906283e-07,0.0003031446357298365,2.0013167995625132e-07
32,41,80,12000.0,0.0,15000.0,8000.0,0.0,15000.0,16000.0,0.0,15000.0,8000.0,x-direction,beam_x,0.0026818827953687028,0.0006040650341710474,3.262238293243716,7.44967443157973e-05,0.090617730367881,0.0906922271121968,2.516937642379364e-05,0.006046148474146453,1.0067750569517456e-05
