mode,period_s,frequency_hz,Sae_DD2,region
1,0.1978929167603709,5.053237965110711,1.008,Plateau
2,0.14678150783047625,6.812847304681863,1.008,Plateau
3,0.13288914239591298,7.525069256754832,1.008,Plateau
4,0.06303823882229832,15.863387345242156,0.7769796748992748,Ascending
5,0.04334009926713507,23.073320479408846,0.6601812944780715,Ascending
6,0.042208697026752326,23.69179980529106,0.6534727447233315,Ascending
7,0.04141753694912459,24.14436187328943,0.64878163085128,Ascending
8,0.034972521500256405,28.593877624542124,0.6105664804250498,Ascending
9,0.02969468786459134,33.67605696210816,0.5792720315735769,Ascending
10,0.025185395299580828,39.70555109836388,0.5525345791881029,Ascending
11,0.02489686088504682,40.165706215621945,0.5508237398360424,Ascending
12,0.024076272330595526,41.53466891671702,0.5459581324072958,Ascending
