Analysis,Max_Ux_mm,Max_Uy_mm
RSX,1.847756770457863e-12,0.0002596318299115006
RSY,7.893389768067147e-05,166.9064116578451
TH_X,0.0,0.0
TH_Y,0.0,0.0
ENVELOPE,7.893389768067147e-05,166.9064116578451
