z	phi_x	phi_y
0.0	0.000000	0.000000
9.0	-0.040260	0.003683
15.0	-0.073611	0.005755
21.0	-0.113427	0.007432
27.0	-0.156436	0.008792
33.0	-0.201311	0.010268
39.0	-0.245619	0.011399
45.0	-0.289652	0.013712
51.0	-0.335855	0.016008
57.0	-0.383332	0.018101
63.0	-0.430274	0.020334
69.0	-0.477461	0.022958
75.0	-0.521784	0.024544
81.0	-0.564070	0.026497
87.0	-0.608860	0.028686
93.0	-0.654061	0.030895
99.0	-0.696392	0.032963
105.0	-0.737828	0.035031
111.0	-0.777345	0.035979
117.0	-0.813723	0.037765
123.0	-0.850243	0.039621
129.0	-0.886208	0.041455
135.0	-0.917831	0.043181
141.0	-0.948163	0.044985
147.0	-0.976130	0.046013
153.0	-1.000000	0.046249
