elem_id,type,tower,length,axial_force_N,shear_Vy_N,shear_Vz_N,torsion_Nmm,moment_My_Nmm,moment_Mz_Nmm,axial_stress_MPa,bending_stress_MPa,combined_stress_MPa,shear_stress_MPa
1,column,tower1,90.0,-10.551269001667444,-9.417438014950045,-4840.216976594908,446.70617529236563,-637.0053863748499,52.77409614511454,-0.29309080560187345,19.160541181110123,19.453631986711997,201.67608909055548
2,column,tower1,90.0,-11.04888947947813,-4.055702165884997,-4474.425299825601,204.79131005500574,-666.8776066689638,15.933011508631512,-0.3069135966521703,18.966961616044316,19.273875212696485,186.43446407946226
3,column,tower1,90.0,-11.321271953452479,-0.5208276232111356,-4461.112554518396,26.07611806193713,-679.8808387402565,1.8837872690946726,-0.3144797764847911,18.937906278037538,19.25238605452233,185.87969103838682
4,column,tower1,90.0,-11.25973245825959,3.0631687359935995,-4474.909346954392,-154.231769255376,-678.5126540583454,-12.086174266219444,-0.3127703460627664,19.183300786793467,19.496071132856233,186.4545998064874
5,column,tower1,90.0,-11.08092636833078,8.535586966350373,-4808.003691850672,-399.38217118978423,-663.9272039460053,-48.571815446069365,-0.30780351023141056,19.79163942755763,20.09944293778904,200.33380285014377
6,column,tower1,90.0,-6.835948540738548,0.5441698214020128,-2715.2917612140836,-3.7477808734785647,-447.1661608960938,24.860867709865797,-0.18988745946495966,13.111861905721101,13.30174936518606,113.13715898926833
7,column,tower1,90.0,-7.964150382975607,-0.07739363494454009,-2673.680871870966,12.828343924440151,-494.8485628143165,11.148127231496943,-0.2212263995271002,14.055463612383708,14.276690011910809,111.40336970796258
8,column,tower1,90.0,-8.26430233545212,-0.35118196563346227,-2666.867416683081,17.8236679091985,-509.07437069602787,1.7430877609334845,-0.2295639537625589,14.189373846026704,14.418937799789264,111.11947665856187
9,column,tower1,90.0,-8.240018808293728,-0.620316909917332,-2670.323616428657,22.675561570725904,-508.5203017081711,-7.508181733604603,-0.22888941134149243,14.334124540049325,14.563013951390818,111.26348701993959
10,column,tower1,90.0,-7.438809413690693,-1.1210136017301664,-2697.8821058893764,35.617378824460985,-476.67113422577654,-21.491672344920154,-0.20663359482474147,13.837855738074907,14.044489332899648,112.41176411620822
11,column,tower1,90.0,-5.2941236121909805,-3.156178496490485,-1323.2091620279296,146.42633225740212,-363.70707939839093,0.5463945305734288,-0.14705898922752725,10.118152053582342,10.26521104280987,55.133871923025495
12,column,tower1,90.0,-5.797709308899269,-1.401677563819535,-1247.171686653229,69.03679188190132,-391.4943218133945,4.237629891894272,-0.16104748080275746,10.992554214035799,11.153601694838557,51.96551976313258
13,column,tower1,90.0,-6.024970276371402,-0.21760702352309017,-1243.6310629759564,11.16695739712099,-403.55829128431253,1.999446299929436,-0.16736028545476117,11.265492710673389,11.43285299612815,51.817961750586875
14,column,tower1,90.0,-6.054844775576721,0.9814090825690652,-1242.4135661747605,-47.17384526007595,-404.7306132693103,-0.07272553413591275,-0.16819013265490892,11.244537188984618,11.412727321639526,51.7672480746969
15,column,tower1,90.0,-5.904501820956483,2.777324205417286,-1300.416231266334,-125.7004321329035,-393.8341930529869,3.7689231860455226,-0.16401393947101342,11.04453100663979,11.208544946110804,54.18413321064914
16,column,tower1,90.0,-4.914017051966095,5.792754859000819e-16,1.5272564968139293e-14,-2.0399593995470576e-14,-341.00024304880526,27.986236552888023,-0.13650047366572485,10.249624433380369,10.386124907046094,6.368144472830396e-16
17,column,tower1,90.0,-5.400503727819358,2.881160355614341e-16,1.5271955727202128e-13,-8.835569967617499e-15,-368.3395576770826,10.32312149223976,-0.15001399243942662,10.518407754703398,10.668421747142824,6.363326210300838e-15
18,column,tower1,90.0,-5.6836982059837595,-1.279973373679312e-16,1.663191889391625e-13,8.931793778015838e-15,-382.06147229572025,2.318860967084034,-0.1578805057217711,10.677231479522343,10.835111985244113,6.929968257991479e-15
19,column,tower1,90.0,-5.675355122863414,-3.737102833361307e-16,2.242522144983169e-13,2.0033237927565313e-14,-382.2042859899409,-5.545464227566569,-0.15764875341287263,10.770826394930763,10.928475148343637,9.343855245298671e-15
20,column,tower1,90.0,-5.57391059727793,-5.639663653778126e-16,2.1968872601762142e-13,2.8474320736959016e-14,-372.8905588102785,-22.702651044176385,-0.15483084992438695,10.988700273734858,11.143531123659246,9.153727079161186e-15
21,column,tower1,90.0,-5.294123612190982,3.156178496490485,1323.2091620279296,-146.42633225740212,-363.707079398391,0.5463945305734222,-0.14705898922752728,10.118152053582344,10.265211042809872,55.133871923025495
22,column,tower1,90.0,-5.797709308899269,1.401677563819536,1247.1716866532292,-69.03679188190137,-391.4943218133945,4.237629891894274,-0.16104748080275746,10.992554214035799,11.153601694838557,51.96551976313259
23,column,tower1,90.0,-6.024970276371402,0.21760702352309072,1243.6310629759566,-11.166957397121008,-403.55829128431253,1.9994462999294416,-0.16736028545476117,11.265492710673389,11.43285299612815,51.81796175058689
24,column,tower1,90.0,-6.054844775576721,-0.9814090825690654,1242.4135661747607,47.17384526007596,-404.7306132693103,-0.07272553413591389,-0.16819013265490892,11.244537188984618,11.412727321639526,51.76724807469692
25,column,tower1,90.0,-5.904501820956485,-2.777324205417286,1300.4162312663345,125.70043213290352,-393.834193052987,3.7689231860455212,-0.16401393947101348,11.044531006639792,11.208544946110806,54.18413321064916
26,column,tower1,90.0,-6.835948540738548,-0.5441698214020124,2715.291761214083,3.7477808734785647,-447.1661608960938,24.860867709865797,-0.18988745946495966,13.111861905721101,13.30174936518606,113.1371589892683
