z	phi_x	phi_y
0.0	0.000000	0.000000
9.0	0.161967	-0.015821
15.0	0.284200	-0.023583
21.0	0.422025	-0.030172
27.0	0.550260	-0.035085
33.0	0.674287	-0.038977
39.0	0.787102	-0.040706
45.0	0.862532	-0.041808
51.0	0.930290	-0.042589
57.0	0.987199	-0.042636
63.0	1.000000	-0.040833
69.0	0.997511	-0.038930
75.0	0.980583	-0.037760
81.0	0.922537	-0.033764
87.0	0.845464	-0.028932
93.0	0.752554	-0.023595
99.0	0.623302	-0.017052
105.0	0.484025	-0.010803
111.0	0.340557	-0.006965
117.0	0.184480	-0.000053
123.0	0.017626	0.007823
129.0	-0.155056	0.015724
135.0	-0.324261	0.023087
141.0	-0.491625	0.029834
147.0	-0.648526	0.033974
153.0	-0.773350	0.035828
