mode,eigenvalue,omega_rad_s,frequency_hz,period_s,Sae_g,spectral_region
1,988.2738553050359,31.436823238123726,5.0033258134535545,0.19986705589131887,1.008,Plateau
2,1825.4762594248896,42.725592557914155,6.799989252122335,0.14705905596657987,1.008,Plateau
3,2173.9341830063277,46.625467107647594,7.420673564150691,0.1347586565229071,1.008,Plateau
4,9537.271365579698,97.65895435432277,15.542905322676246,0.06433803585878213,0.7846867067391318,Ascending
5,20974.93428084864,144.82725669171754,23.049973796925624,0.04338399725787882,0.6604415837408344,Ascending
6,21331.406947961284,146.0527539896502,23.245017749637366,0.04301997145240298,0.6582831248471895,Ascending
7,22371.833817445673,149.57216926101484,23.805150086868153,0.04200771666428765,0.6522810493976586,Ascending
8,31686.098139924048,178.00589355390468,28.33051785859368,0.035297625161365115,0.6124941538979768,Ascending
9,42979.19924165634,207.31425238428818,32.995088040360216,0.030307541497594463,0.5829058931151484,Ascending
10,60611.41944974383,246.19386558105754,39.18297066612694,0.025521291086397495,0.5545262436181686,Ascending
11,67204.77697898168,259.2388415708219,41.25914307741303,0.024237052091065886,0.5469114618105554,Ascending
12,68445.37245665381,261.6206651941964,41.63822208064614,0.02401639527411066,0.5456030966841385,Ascending
