DASK 2026 Time History Analysis Log
Ground Motion: KYH1 (PGA = 0.335 g)
Model: V9 Twin Towers (1680 nodes, 4248 elements)
dt_analysis = 0.005 s, Nsteps = 6446
Started: 1770458990
================================================

step=3328 t=16.640 pct=51% T1_Ux=-0.046579 T1_Uy=0.000112 T2_Ux=-0.046577 T2_Uy=0.000110 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=1782s
step=3456 t=17.280 pct=53% T1_Ux=-0.108118 T1_Uy=0.000121 T2_Ux=-0.108115 T2_Uy=0.000117 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=1927s
step=3584 t=17.920 pct=55% T1_Ux=-0.018579 T1_Uy=0.000058 T2_Ux=-0.018576 T2_Uy=0.000058 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=2071s
step=3712 t=18.560 pct=57% T1_Ux=0.039819 T1_Uy=-0.000059 T2_Ux=0.039815 T2_Uy=-0.000058 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=2209s
step=3840 t=19.200 pct=59% T1_Ux=-0.031577 T1_Uy=-0.000044 T2_Ux=-0.031576 T2_Uy=-0.000045 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=2372s
step=3968 t=19.840 pct=61% T1_Ux=-0.044290 T1_Uy=0.000024 T2_Ux=-0.044285 T2_Uy=0.000023 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=2545s
step=4096 t=20.480 pct=63% T1_Ux=0.013961 T1_Uy=-0.000012 T2_Ux=0.013958 T2_Uy=-0.000011 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=2684s
step=4224 t=21.120 pct=65% T1_Ux=0.018088 T1_Uy=-0.000040 T2_Ux=0.018087 T2_Uy=-0.000039 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=2866s
step=4352 t=21.760 pct=67% T1_Ux=-0.022783 T1_Uy=-0.000075 T2_Ux=-0.022781 T2_Uy=-0.000076 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=3059s
step=4480 t=22.400 pct=69% T1_Ux=0.018625 T1_Uy=-0.000006 T2_Ux=0.018624 T2_Uy=-0.000005 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=3201s
step=4608 t=23.040 pct=71% T1_Ux=-0.031888 T1_Uy=0.000003 T2_Ux=-0.031887 T2_Uy=0.000002 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=3263s
step=4736 t=23.680 pct=73% T1_Ux=0.003879 T1_Uy=0.000018 T2_Ux=0.003878 T2_Uy=0.000018 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=3309s
step=4864 t=24.320 pct=75% T1_Ux=-0.008259 T1_Uy=0.000053 T2_Ux=-0.008259 T2_Uy=0.000053 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=3356s
step=4992 t=24.960 pct=77% T1_Ux=0.012362 T1_Uy=-0.000018 T2_Ux=0.012361 T2_Uy=-0.000018 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=3403s
step=5120 t=25.600 pct=79% T1_Ux=-0.014820 T1_Uy=-0.000018 T2_Ux=-0.014819 T2_Uy=-0.000018 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=3450s
step=5248 t=26.240 pct=81% T1_Ux=-0.002718 T1_Uy=-0.000031 T2_Ux=-0.002717 T2_Uy=-0.000031 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=3557s
step=5376 t=26.880 pct=83% T1_Ux=0.001365 T1_Uy=0.000018 T2_Ux=0.001364 T2_Uy=0.000018 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=3783s
