z	phi_x	phi_y
0.0	0.000000	0.000000
9.0	0.038998	-0.008819
15.0	0.070568	-0.013248
21.0	0.108240	-0.017363
27.0	0.149214	-0.021400
33.0	0.192158	-0.025007
39.0	0.235729	-0.026996
45.0	0.278841	-0.030691
51.0	0.324364	-0.034944
57.0	0.371642	-0.039279
63.0	0.418650	-0.043564
69.0	0.465693	-0.047369
75.0	0.510892	-0.049164
81.0	0.552939	-0.052738
87.0	0.597304	-0.056760
93.0	0.642278	-0.060828
99.0	0.685190	-0.064715
105.0	0.727270	-0.068165
111.0	0.767934	-0.070079
117.0	0.804978	-0.073293
123.0	0.841892	-0.076904
129.0	0.878404	-0.080480
135.0	0.911609	-0.083774
141.0	0.943719	-0.086769
147.0	0.974045	-0.088525
153.0	1.000000	-0.089371
