t_s,Ux_T1_cm,Ux_T2_cm,Uy_T1_cm,Uy_T2_cm
0.0200,-0.00004396,-0.00004396,-0.00000000,-0.00000000
0.0400,-0.00023711,-0.00023710,0.00000009,0.00000008
0.0600,-0.00038177,-0.00038177,0.00000034,0.00000033
0.0800,-0.00034368,-0.00034365,0.00000039,0.00000038
0.1000,-0.00021078,-0.00021077,0.00000060,0.00000059
0.1200,-0.00010917,-0.00010917,0.00000048,0.00000047
0.1400,-0.00027785,-0.00027784,0.00000057,0.00000056
0.1600,-0.00069205,-0.00069205,0.00000051,0.00000050
0.1800,-0.00123792,-0.00123786,0.00000082,0.00000078
0.2000,-0.00163211,-0.00163206,0.00000130,0.00000126
0.2200,-0.00164583,-0.00164573,0.00000194,0.00000188
0.2400,-0.00119361,-0.00119356,0.00000246,0.00000242
0.2600,-0.00031025,-0.00031023,0.00000240,0.00000238
0.2800,0.00081879,0.00081874,0.00000153,0.00000155
0.3000,0.00205920,0.00205909,-0.00000040,-0.00000034
0.3200,0.00326870,0.00326856,-0.00000309,-0.00000299
0.3400,0.00446679,0.00446660,-0.00000614,-0.00000600
0.3600,0.00563089,0.00563070,-0.00000907,-0.00000889
0.3800,0.00638626,0.00638601,-0.00001115,-0.00001095
0.4000,0.00615552,0.00615530,-0.00001176,-0.00001156
0.4200,0.00455992,0.00455972,-0.00001038,-0.00001022
0.4400,0.00150338,0.00150331,-0.00000681,-0.00000677
0.4600,-0.00263967,-0.00263958,-0.00000094,-0.00000101
0.4800,-0.00720449,-0.00720420,0.00000648,0.00000625
0.5000,-0.01172306,-0.01172255,0.00001495,0.00001458
0.5200,-0.01541925,-0.01541862,0.00002307,0.00002258
0.5400,-0.01751334,-0.01751262,0.00002922,0.00002866
0.5600,-0.01769057,-0.01768990,0.00003214,0.00003158
0.5800,-0.01561569,-0.01561509,0.00003082,0.00003031
0.6000,-0.01128900,-0.01128861,0.00002456,0.00002421
0.6200,-0.00572396,-0.00572374,0.00001435,0.00001417
0.6400,0.00070405,0.00070404,0.00000185,0.00000186
0.6600,0.00910408,0.00910378,-0.00001222,-0.00001194
0.6800,0.01996378,0.01996305,-0.00002715,-0.00002652
0.7000,0.03112088,0.03111964,-0.00004197,-0.00004098
0.7200,0.03738610,0.03738454,-0.00005441,-0.00005321
0.7400,0.03341822,0.03341673,-0.00005996,-0.00005887
0.7600,0.01666665,0.01666577,-0.00005435,-0.00005378
0.7800,-0.01250185,-0.01250130,-0.00003069,-0.00003110
0.8000,-0.04125370,-0.04125174,0.00001338,0.00001207
0.8200,-0.05035253,-0.05034998,0.00006003,0.00005839
0.8400,-0.03678182,-0.03677976,0.00009801,0.00009679
0.8600,-0.01033733,-0.01033714,0.00010973,0.00010943
0.8800,0.01537631,0.01537520,0.00008561,0.00008604
0.9000,0.03333058,0.03332799,0.00002708,0.00002819
0.9200,0.04442655,0.04442408,-0.00005501,-0.00005362
0.9400,0.04653520,0.04653328,-0.00013177,-0.00013027
0.9600,0.04223631,0.04223575,-0.00017407,-0.00017277
0.9800,0.04790760,0.04790725,-0.00017475,-0.00017325
1.0000,0.07355007,0.07354849,-0.00014510,-0.00014285
1.0200,0.11007610,0.11007168,-0.00010412,-0.00010052
1.0400,0.10899625,0.10898954,-0.00007777,-0.00007406
1.0600,0.01254961,0.01254759,-0.00001963,-0.00001938
1.0800,-0.12045030,-0.12044761,0.00006819,0.00006464
