t_s,Ux_T1_cm,Ux_T2_cm,Uy_T1_cm,Uy_T2_cm
0.0200,-0.00004249,-0.00004250,-0.00000000,-0.00000000
0.0400,-0.00020428,-0.00020427,0.00000009,0.00000008
0.0600,-0.00031072,-0.00031071,0.00000026,0.00000025
0.0800,-0.00028147,-0.00028145,0.00000034,0.00000033
0.1000,-0.00019931,-0.00019930,0.00000040,0.00000040
0.1200,-0.00018875,-0.00018874,0.00000041,0.00000040
0.1400,-0.00034895,-0.00034893,0.00000044,0.00000043
0.1600,-0.00066770,-0.00066768,0.00000057,0.00000054
0.1800,-0.00104224,-0.00104220,0.00000085,0.00000081
0.2000,-0.00132985,-0.00132980,0.00000126,0.00000122
0.2200,-0.00140461,-0.00140454,0.00000170,0.00000165
0.2400,-0.00118424,-0.00118418,0.00000198,0.00000194
0.2600,-0.00063290,-0.00063287,0.00000189,0.00000187
0.2800,0.00024040,0.00024039,0.00000125,0.00000126
0.3000,0.00137629,0.00137623,0.00000000,0.00000004
0.3200,0.00266886,0.00266875,-0.00000180,-0.00000172
0.3400,0.00403202,0.00403186,-0.00000398,-0.00000385
0.3600,0.00532688,0.00532666,-0.00000630,-0.00000613
0.3800,0.00615748,0.00615723,-0.00000838,-0.00000819
0.4000,0.00606403,0.00606379,-0.00000962,-0.00000943
0.4200,0.00482006,0.00481986,-0.00000954,-0.00000938
0.4400,0.00236555,0.00236545,-0.00000773,-0.00000766
0.4600,-0.00107196,-0.00107192,-0.00000399,-0.00000402
0.4800,-0.00514544,-0.00514523,0.00000143,0.00000127
0.5000,-0.00955502,-0.00955463,0.00000816,0.00000786
0.5200,-0.01361168,-0.01361113,0.00001542,0.00001500
0.5400,-0.01645634,-0.01645568,0.00002193,0.00002141
0.5600,-0.01758093,-0.01758022,0.00002657,0.00002601
0.5800,-0.01648592,-0.01648525,0.00002833,0.00002780
0.6000,-0.01307013,-0.01306962,0.00002622,0.00002580
0.6200,-0.00814745,-0.00814713,0.00002042,0.00002016
0.6400,-0.00199274,-0.00199266,0.00001171,0.00001163
0.6600,0.00624769,0.00624745,0.00000025,0.00000043
0.6800,0.01665818,0.01665754,-0.00001378,-0.00001326
0.7000,0.02709398,0.02709290,-0.00002916,-0.00002830
0.7200,0.03335859,0.03335720,-0.00004328,-0.00004222
0.7400,0.03161172,0.03161036,-0.00005184,-0.00005082
0.7600,0.01973946,0.01973852,-0.00005080,-0.00005013
0.7800,-0.00258142,-0.00258138,-0.00003525,-0.00003532
0.8000,-0.02579212,-0.02579092,-0.00000464,-0.00000546
0.8200,-0.03640362,-0.03640188,0.00002906,0.00002789
0.8400,-0.03265924,-0.03265762,0.00005569,0.00005463
0.8600,-0.02056122,-0.02056029,0.00006834,0.00006767
0.8800,-0.00492876,-0.00492870,0.00006149,0.00006132
0.9000,0.01325762,0.01325681,0.00003494,0.00003533
0.9200,0.03333168,0.03333003,-0.00000734,-0.00000628
0.9400,0.04758167,0.04757955,-0.00005403,-0.00005252
