t_s,Ux_T1_cm,Ux_T2_cm,Uy_T1_cm,Uy_T2_cm
0.0200,-0.00004295,-0.00004295,-0.00000000,-0.00000000
0.0400,-0.00021310,-0.00021309,0.00000009,0.00000009
0.0600,-0.00032934,-0.00032933,0.00000028,0.00000027
0.0800,-0.00029719,-0.00029718,0.00000036,0.00000035
0.1000,-0.00020106,-0.00020105,0.00000044,0.00000044
0.1200,-0.00017267,-0.00017267,0.00000043,0.00000043
0.1400,-0.00033532,-0.00033531,0.00000046,0.00000045
0.1600,-0.00067939,-0.00067937,0.00000057,0.00000054
0.1800,-0.00109013,-0.00109009,0.00000085,0.00000081
0.2000,-0.00139851,-0.00139845,0.00000129,0.00000124
0.2200,-0.00145866,-0.00145859,0.00000177,0.00000173
0.2400,-0.00118835,-0.00118829,0.00000209,0.00000206
0.2600,-0.00056912,-0.00056909,0.00000200,0.00000198
0.2800,0.00036485,0.00036484,0.00000130,0.00000131
0.3000,0.00153708,0.00153701,-0.00000010,-0.00000006
0.3200,0.00283688,0.00283677,-0.00000210,-0.00000202
0.3400,0.00418659,0.00418642,-0.00000447,-0.00000434
0.3600,0.00546154,0.00546132,-0.00000694,-0.00000676
0.3800,0.00626195,0.00626170,-0.00000906,-0.00000886
0.4000,0.00610161,0.00610136,-0.00001020,-0.00001000
0.4200,0.00473812,0.00473792,-0.00000987,-0.00000972
0.4400,0.00211794,0.00211785,-0.00000768,-0.00000761
0.4600,-0.00149053,-0.00149047,-0.00000344,-0.00000348
0.4800,-0.00568025,-0.00568002,0.00000252,0.00000234
0.5000,-0.01012710,-0.01012668,0.00000975,0.00000943
0.5200,-0.01413160,-0.01413102,0.00001735,0.00001691
0.5400,-0.01683049,-0.01682981,0.00002392,0.00002339
0.5600,-0.01773445,-0.01773374,0.00002829,0.00002772
0.5800,-0.01636802,-0.01636736,0.00002943,0.00002891
0.6000,-0.01265301,-0.01265252,0.00002637,0.00002597
0.6200,-0.00748384,-0.00748355,0.00001946,0.00001921
0.6400,-0.00119338,-0.00119334,0.00000966,0.00000961
0.6600,0.00712443,0.00712416,-0.00000270,-0.00000249
0.6800,0.01765859,0.01765791,-0.00001730,-0.00001675
0.7000,0.02825256,0.02825144,-0.00003291,-0.00003201
