t_s,Ux_T1_cm,Ux_T2_cm,Uy_T1_cm,Uy_T2_cm
2.0400,0.19932900,0.19929394,0.00078958,0.00079397
2.0600,0.20119930,0.20112905,0.00066941,0.00067943
2.0800,-0.01711349,-0.01711906,0.00029630,0.00029179
2.1000,-0.28104168,-0.28102398,-0.00004350,-0.00004893
2.1200,-0.28878091,-0.28871382,-0.00047354,-0.00048597
2.1400,-0.10030614,-0.10026710,-0.00057856,-0.00058030
2.1600,0.12420094,0.12419421,-0.00048584,-0.00048160
2.1800,0.26037131,0.26033648,-0.00018046,-0.00017348
2.2000,0.25996107,0.25989387,0.00006436,0.00007548
2.2200,0.13094397,0.13093537,0.00024630,0.00024710
2.2400,-0.04200350,-0.04200012,0.00027981,0.00028199
2.2600,-0.14460449,-0.14454566,0.00019520,0.00018679
2.2800,-0.11167671,-0.11165298,0.00005004,0.00004917
2.3000,0.04745713,0.04745796,-0.00012068,-0.00012118
2.3200,0.21215969,0.21211919,-0.00026885,-0.00026096
2.3400,0.24140162,0.24135196,-0.00037042,-0.00036216
2.3600,0.08500173,0.08499643,-0.00033392,-0.00033245
2.3800,-0.11261034,-0.11259565,-0.00018875,-0.00019028
2.4000,-0.17947606,-0.17941820,-0.00000220,-0.00001117
2.4200,-0.04140371,-0.04138967,0.00019724,0.00019859
2.4400,0.21638425,0.21637676,0.00023823,0.00024274
2.4600,0.34759622,0.34754151,0.00015961,0.00017277
2.4800,0.23676116,0.23671792,-0.00003458,-0.00002770
2.5000,-0.02910549,-0.02911241,-0.00025378,-0.00025436
2.5200,-0.29480261,-0.29476983,-0.00034830,-0.00035774
2.5400,-0.37177388,-0.37171350,-0.00024891,-0.00026169
2.5600,-0.19936326,-0.19933369,0.00000084,-0.00000494
2.5800,0.11206769,0.11206251,0.00028922,0.00029179
2.6000,0.37672115,0.37666622,0.00039972,0.00041302
2.6200,0.44517589,0.44512412,0.00028654,0.00029985
2.6400,0.30391374,0.30388420,-0.00007271,-0.00006183
2.6600,0.04054907,0.04056755,-0.00048234,-0.00048170
2.6800,-0.23743313,-0.23738822,-0.00073384,-0.00074109
2.7000,-0.38059734,-0.38055163,-0.00058401,-0.00059696
2.7200,-0.24908713,-0.24907712,-0.00021928,-0.00022642
2.7400,-0.02282097,-0.02284111,0.00029641,0.00029467
2.7600,0.08557989,0.08554265,0.00080332,0.00080742
2.7800,0.05596258,0.05594658,0.00097847,0.00097946
2.8000,-0.05445948,-0.05445002,0.00082803,0.00082645
