t_s,Ux_T1_cm,Ux_T2_cm,Uy_T1_cm,Uy_T2_cm
0.0200,-0.00004416,-0.00004416,-0.00000000,-0.00000000
0.0400,-0.00024266,-0.00024264,0.00000009,0.00000008
0.0600,-0.00039393,-0.00039393,0.00000036,0.00000034
0.0800,-0.00035500,-0.00035498,0.00000039,0.00000037
0.1000,-0.00021501,-0.00021501,0.00000064,0.00000064
0.1200,-0.00008787,-0.00008789,0.00000046,0.00000046
0.1400,-0.00026108,-0.00026108,0.00000063,0.00000062
0.1600,-0.00068899,-0.00068900,0.00000047,0.00000046
0.1800,-0.00127683,-0.00127674,0.00000084,0.00000079
0.2000,-0.00169820,-0.00169816,0.00000130,0.00000125
0.2200,-0.00170144,-0.00170130,0.00000198,0.00000192
0.2400,-0.00119948,-0.00119945,0.00000255,0.00000252
0.2600,-0.00022300,-0.00022295,0.00000252,0.00000250
0.2800,0.00095260,0.00095254,0.00000163,0.00000166
0.3000,0.00221012,0.00220999,-0.00000049,-0.00000042
0.3200,0.00335882,0.00335870,-0.00000335,-0.00000325
0.3400,0.00448897,0.00448873,-0.00000660,-0.00000645
0.3600,0.00560725,0.00560712,-0.00000972,-0.00000956
0.3800,0.00636592,0.00636563,-0.00001170,-0.00001147
0.4000,0.00617538,0.00617520,-0.00001217,-0.00001199
0.4200,0.00455447,0.00455423,-0.00001033,-0.00001017
0.4400,0.00141471,0.00141465,-0.00000647,-0.00000643
0.4600,-0.00289974,-0.00289965,-0.00000002,-0.00000011
0.4800,-0.00759067,-0.00759039,0.00000762,0.00000738
0.5000,-0.01214867,-0.01214809,0.00001636,0.00001597
0.5200,-0.01572680,-0.01572622,0.00002445,0.00002397
0.5400,-0.01759210,-0.01759130,0.00003033,0.00002975
0.5600,-0.01754472,-0.01754415,0.00003277,0.00003223
0.5800,-0.01529212,-0.01529149,0.00003062,0.00003011
0.6000,-0.01091895,-0.01091862,0.00002360,0.00002326
0.6200,-0.00536754,-0.00536732,0.00001253,0.00001235
0.6400,0.00099276,0.00099277,-0.00000039,-0.00000036
0.6600,0.00940732,0.00940698,-0.00001460,-0.00001430
0.6800,0.02040758,0.02040692,-0.00002919,-0.00002856
0.7000,0.03179793,0.03179657,-0.00004345,-0.00004241
0.7200,0.03815746,0.03815593,-0.00005533,-0.00005412
0.7400,0.03377346,0.03377185,-0.00006023,-0.00005911
0.7600,0.01603738,0.01603656,-0.00005418,-0.00005364
0.7800,-0.01455861,-0.01455797,-0.00002939,-0.00002987
0.8000,-0.04436286,-0.04436075,0.00001674,0.00001533
0.8200,-0.05297041,-0.05296765,0.00006546,0.00006372
0.8400,-0.03714354,-0.03714148,0.00010607,0.00010484
0.8600,-0.00733597,-0.00733595,0.00011734,0.00011714
0.8800,0.02048716,0.02048572,0.00008999,0.00009058
0.9000,0.03781151,0.03780843,0.00002410,0.00002539
0.9200,0.04576507,0.04576257,-0.00006742,-0.00006602
0.9400,0.04393064,0.04392883,-0.00015069,-0.00014924
0.9600,0.03758407,0.03758414,-0.00019449,-0.00019336
0.9800,0.04434328,0.04434348,-0.00018820,-0.00018681
1.0000,0.07419710,0.07419566,-0.00014617,-0.00014389
1.0200,0.11550746,0.11550275,-0.00009053,-0.00008677
1.0400,0.11644548,0.11643763,-0.00005620,-0.00005221
1.0600,0.01451599,0.01451374,0.00000442,0.00000464
1.0800,-0.12905668,-0.12905458,0.00008575,0.00008207
1.1000,-0.20576547,-0.20575364,0.00014636,0.00013908
1.1200,-0.18195126,-0.18194104,0.00022678,0.00022134
1.1400,-0.08375042,-0.08374323,0.00025485,0.00025198
1.1600,0.01011803,0.01011837,0.00025572,0.00025604
1.1800,0.04813436,0.04812501,0.00015868,0.00016082
1.2000,0.01320649,0.01320308,0.00002645,0.00002609
1.2200,-0.04590657,-0.04591219,-0.00010912,-0.00010956
1.2400,-0.05657052,-0.05656030,-0.00020900,-0.00021215
1.2600,0.01654772,0.01655165,-0.00022959,-0.00022811
1.2800,0.15792597,0.15792920,-0.00021940,-0.00021521
1.3000,0.28509324,0.28508162,-0.00018344,-0.00017393
1.3200,0.32865739,0.32863463,-0.00020003,-0.00018929
1.3400,0.25370635,0.25368902,-0.00023965,-0.00023205
1.3600,0.05732365,0.05730838,-0.00027987,-0.00027629
1.3800,-0.26683440,-0.26681245,-0.00018026,-0.00019098
1.4000,-0.52288387,-0.52285679,0.00016195,0.00014708
1.4200,-0.44496593,-0.44492824,0.00045807,0.00044169
1.4400,-0.10028562,-0.10027621,0.00073916,0.00073649
1.4600,0.30812141,0.30809522,0.00070802,0.00071855
1.4800,0.52006123,0.52002883,0.00038163,0.00039680
1.5000,0.42122103,0.42117153,-0.00021505,-0.00019808
1.5200,0.04502467,0.04502955,-0.00085307,-0.00085493
1.5400,-0.42199101,-0.42196851,-0.00104068,-0.00105147
1.5600,-0.56490069,-0.56484257,-0.00084467,-0.00086487
1.5800,-0.29896397,-0.29892419,-0.00023326,-0.00024314
1.6000,0.16198430,0.16197322,0.00053961,0.00054672
1.6200,0.44781271,0.44778394,0.00104776,0.00105976
1.6400,0.29083461,0.29076856,0.00122877,0.00124223
1.6600,-0.20039435,-0.20039917,0.00085120,0.00084068
1.6800,-0.62551661,-0.62549601,0.00039120,0.00037360
1.7000,-0.54424899,-0.54418830,-0.00032248,-0.00034186
1.7200,-0.06653095,-0.06648147,-0.00071564,-0.00071857
1.7400,0.43234640,0.43232938,-0.00088512,-0.00086757
1.7600,0.57443763,0.57441351,-0.00071393,-0.00069964
1.7800,0.29152397,0.29144171,-0.00036171,-0.00034621
1.8000,-0.14597588,-0.14597765,0.00001283,0.00000178
1.8200,-0.44658000,-0.44657282,0.00046162,0.00045203
1.8400,-0.38800557,-0.38793649,0.00070525,0.00068899
1.8600,-0.06523035,-0.06518326,0.00080497,0.00080366
1.8800,0.28548651,0.28547024,0.00057579,0.00058704
1.9000,0.38136824,0.38133861,0.00013451,0.00014268
1.9200,0.19854900,0.19845415,-0.00040697,-0.00039361
1.9400,-0.11376327,-0.11375216,-0.00087760,-0.00088950
1.9600,-0.35042175,-0.35041573,-0.00088485,-0.00088792
1.9800,-0.34599411,-0.34589396,-0.00064565,-0.00066386
2.0000,-0.18654546,-0.18649705,0.00009086,0.00008912
2.0200,0.09103805,0.09103425,0.00071532,0.00071717
2.0400,0.32307735,0.32303074,0.00110113,0.00110896
2.0600,0.35010838,0.34999089,0.00094617,0.00096427
2.0800,0.05087923,0.05088326,0.00041871,0.00041104
2.1000,-0.35083783,-0.35084234,-0.00011096,-0.00011187
2.1200,-0.43991108,-0.43978588,-0.00077253,-0.00079715
2.1400,-0.23900042,-0.23895679,-0.00087606,-0.00087590
2.1600,0.11277809,0.11279104,-0.00074581,-0.00074640
2.1800,0.37476790,0.37471350,-0.00021186,-0.00019951
2.2000,0.43001494,0.42990038,0.00018752,0.00020587
2.2200,0.23371741,0.23371563,0.00049937,0.00049884
2.2400,-0.08306222,-0.08308842,0.00054237,0.00055043
2.2600,-0.29510798,-0.29498080,0.00034015,0.00031797
2.2800,-0.27940068,-0.27938512,0.00010823,0.00011082
2.3000,-0.00480612,-0.00477062,-0.00021732,-0.00022730
2.3200,0.30027687,0.30020111,-0.00041360,-0.00039750
2.3400,0.42168547,0.42160156,-0.00057312,-0.00056100
2.3600,0.22283203,0.22282617,-0.00051704,-0.00051255
2.3800,-0.11393607,-0.11394484,-0.00030098,-0.00029738
2.4000,-0.31770124,-0.31756974,-0.00004687,-0.00006845
2.4200,-0.22752644,-0.22752923,0.00035312,0.00035812
2.4400,0.12853253,0.12857281,0.00045082,0.00044235
2.4600,0.40819726,0.40808625,0.00048609,0.00051014
2.4800,0.41649058,0.41643026,0.00015118,0.00015750
2.5000,0.12984162,0.12981568,-0.00020619,-0.00019856
2.5200,-0.26692340,-0.26689951,-0.00056671,-0.00057435
2.5400,-0.49719433,-0.49706770,-0.00061242,-0.00063387
2.5600,-0.39407989,-0.39406399,-0.00034554,-0.00035015
2.5800,-0.00212300,-0.00207281,0.00009730,0.00008669
2.6000,0.41650185,0.41637982,0.00050214,0.00052679
2.6200,0.62573341,0.62568361,0.00059063,0.00060064
2.6400,0.48795591,0.48788418,0.00032713,0.00035124
2.6600,0.10343507,0.10346323,-0.00021394,-0.00021554
2.6800,-0.34739218,-0.34730597,-0.00070182,-0.00071184
2.7000,-0.59254327,-0.59249823,-0.00076169,-0.00077913
2.7200,-0.40885668,-0.40879885,-0.00055240,-0.00057007
2.7400,-0.02598677,-0.02606611,0.00004115,0.00004647
2.7600,0.25452919,0.25450604,0.00066615,0.00066792
2.7800,0.27005734,0.26999047,0.00104996,0.00106565
