t_s,Ux_T1_cm,Ux_T2_cm,Uy_T1_cm,Uy_T2_cm
0.0200,-0.00004363,-0.00004364,-0.00000000,-0.00000000
0.0400,-0.00022864,-0.00022862,0.00000009,0.00000008
0.0600,-0.00036307,-0.00036306,0.00000032,0.00000031
0.0800,-0.00032667,-0.00032665,0.00000038,0.00000037
0.1000,-0.00020604,-0.00020603,0.00000053,0.00000053
0.1200,-0.00013569,-0.00013569,0.00000047,0.00000047
0.1400,-0.00030132,-0.00030131,0.00000051,0.00000050
0.1600,-0.00069182,-0.00069180,0.00000055,0.00000053
0.1800,-0.00118238,-0.00118233,0.00000083,0.00000079
0.2000,-0.00154047,-0.00154041,0.00000131,0.00000126
0.2200,-0.00157136,-0.00157128,0.00000189,0.00000184
0.2400,-0.00119106,-0.00119100,0.00000232,0.00000228
0.2600,-0.00041918,-0.00041915,0.00000224,0.00000223
0.2800,0.00063576,0.00063572,0.00000142,0.00000144
0.3000,0.00185600,0.00185591,-0.00000029,-0.00000024
0.3200,0.00312206,0.00312192,-0.00000271,-0.00000261
0.3400,0.00439813,0.00439796,-0.00000549,-0.00000535
0.3600,0.00561333,0.00561311,-0.00000823,-0.00000805
0.3800,0.00637462,0.00637437,-0.00001036,-0.00001016
0.4000,0.00613874,0.00613850,-0.00001120,-0.00001101
0.4200,0.00460211,0.00460192,-0.00001029,-0.00001014
0.4400,0.00169507,0.00169499,-0.00000727,-0.00000721
0.4600,-0.00223692,-0.00223683,-0.00000202,-0.00000209
0.4800,-0.00664609,-0.00664582,0.00000489,0.00000469
0.5000,-0.01113514,-0.01113468,0.00001296,0.00001261
0.5200,-0.01497315,-0.01497254,0.00002099,0.00002052
0.5400,-0.01733077,-0.01733007,0.00002741,0.00002686
0.5600,-0.01779942,-0.01779872,0.00003098,0.00003041
0.5800,-0.01597174,-0.01597113,0.00003067,0.00003016
0.6000,-0.01181014,-0.01180970,0.00002563,0.00002526
0.6200,-0.00631789,-0.00631766,0.00001661,0.00001641
0.6400,0.00011371,0.00011370,0.00000498,0.00000497
0.6600,0.00849790,0.00849760,-0.00000867,-0.00000841
0.6800,0.01922016,0.01921944,-0.00002376,-0.00002315
0.7000,0.03012795,0.03012677,-0.00003912,-0.00003816
0.7200,0.03633517,0.03633365,-0.00005233,-0.00005116
0.7400,0.03295063,0.03294919,-0.00005880,-0.00005774
0.7600,0.01756936,0.01756846,-0.00005427,-0.00005367
0.7800,-0.00964656,-0.00964615,-0.00003253,-0.00003284
0.8000,-0.03687089,-0.03686915,0.00000814,0.00000696
0.8200,-0.04655209,-0.04654978,0.00005157,0.00005007
0.8400,-0.03601085,-0.03600890,0.00008616,0.00008497
0.8600,-0.01404748,-0.01404700,0.00009838,0.00009795
0.8800,0.00868207,0.00868130,0.00007938,0.00007962
0.9000,0.02719433,0.02719238,0.00003078,0.00003165
0.9200,0.04195118,0.04194885,-0.00003859,-0.00003725
0.9400,0.04875644,0.04875437,-0.00010636,-0.00010481
0.9600,0.04727932,0.04727814,-0.00014684,-0.00014537
0.9800,0.05214196,0.05214093,-0.00015562,-0.00015398
1.0000,0.07340357,0.07340175,-0.00014147,-0.00013923
1.0200,0.10433020,0.10432614,-0.00011835,-0.00011494
1.0400,0.10056612,0.10056048,-0.00010222,-0.00009880
1.0600,0.01067537,0.01067378,-0.00004841,-0.00004816
1.0800,-0.10919355,-0.10919048,0.00004469,0.00004138
1.1000,-0.16787701,-0.16786883,0.00012797,0.00012236
1.1200,-0.14903932,-0.14903103,0.00021200,0.00020724
1.1400,-0.08502250,-0.08501748,0.00025596,0.00025330
1.1600,-0.02739904,-0.02739774,0.00024964,0.00024872
1.1800,-0.00552381,-0.00552700,0.00017754,0.00017759
1.2000,-0.01799284,-0.01799489,0.00006543,0.00006471
1.2200,-0.03225652,-0.03225709,-0.00004585,-0.00004680
1.2400,-0.00901938,-0.00901676,-0.00013580,-0.00013629
1.2600,0.06240597,0.06240745,-0.00018662,-0.00018468
1.2800,0.15948798,0.15948481,-0.00021375,-0.00020870
1.3000,0.23643705,0.23642777,-0.00023311,-0.00022558
1.3200,0.25645254,0.25643870,-0.00025817,-0.00024992
1.3400,0.21130667,0.21129390,-0.00028259,-0.00027575
1.3600,0.08026017,0.08025297,-0.00027834,-0.00027519
1.3800,-0.17553671,-0.17552798,-0.00014187,-0.00014788
1.4000,-0.40184709,-0.40182544,0.00017040,0.00015759
1.4200,-0.37471343,-0.37469197,0.00043420,0.00042190
1.4400,-0.13346710,-0.13345587,0.00060625,0.00060139
1.4600,0.16108495,0.16107370,0.00057146,0.00057722
1.4800,0.34499139,0.34497072,0.00028537,0.00029600
1.5000,0.32955116,0.32952538,-0.00015608,-0.00014466
1.5200,0.10775788,0.10774722,-0.00059515,-0.00059168
1.5400,-0.21398555,-0.21397083,-0.00072284,-0.00073012
1.5600,-0.34760246,-0.34757751,-0.00055367,-0.00056433
1.5800,-0.21156739,-0.21154080,-0.00018934,-0.00019725
1.6000,0.03397848,0.03398055,0.00029006,0.00029217
1.6200,0.17690975,0.17689616,0.00060576,0.00061123
1.6400,0.06915422,0.06913321,0.00073420,0.00073699
1.6600,-0.21067279,-0.21068005,0.00062685,0.00061989
1.6800,-0.38298494,-0.38296901,0.00040821,0.00039524
1.7000,-0.23377321,-0.23375333,0.00005362,0.00004639
1.7200,0.08805466,0.08807084,-0.00027745,-0.00027519
1.7400,0.29019001,0.29018323,-0.00046890,-0.00045845
1.7600,0.23242990,0.23241533,-0.00049734,-0.00049012
1.7800,0.00616149,0.00614523,-0.00035712,-0.00035660
1.8000,-0.16881647,-0.16881915,-0.00012664,-0.00013240
1.8200,-0.16945916,-0.16944784,0.00013926,0.00013350
1.8400,-0.02865992,-0.02864555,0.00034373,0.00034286
1.8600,0.12749356,0.12750066,0.00040037,0.00040445
1.8800,0.15871359,0.15870451,0.00029233,0.00029776
1.9000,0.03679790,0.03678386,0.00009887,0.00009990
1.9200,-0.11188718,-0.11189835,-0.00011705,-0.00012041
1.9400,-0.17012460,-0.17011975,-0.00025881,-0.00026474
1.9600,-0.10524709,-0.10523241,-0.00026053,-0.00026364
1.9800,0.00452199,0.00453794,-0.00016374,-0.00016353
2.0000,0.03712640,0.03713483,0.00003569,0.00003678
2.0200,0.01646230,0.01645555,0.00021762,0.00021844
2.0400,0.01745377,0.01744035,0.00027269,0.00027277
2.0600,0.02026537,0.02024908,0.00020426,0.00020573
2.0800,-0.07107313,-0.07107084,0.00009926,0.00009622
2.1000,-0.16331198,-0.16329660,0.00006909,0.00006423
2.1200,-0.09280014,-0.09278308,-0.00004581,-0.00004899
2.1400,0.04005727,0.04006387,-0.00011088,-0.00010978
2.1600,0.09877401,0.09876469,-0.00010916,-0.00010553
2.1800,0.09512984,0.09511670,-0.00007882,-0.00007607
2.2000,0.07087620,0.07086283,-0.00007869,-0.00007624
2.2200,0.04958556,0.04958376,-0.00007158,-0.00007021
2.2400,0.04058175,0.04058669,-0.00007740,-0.00007599
2.2600,0.03691934,0.03692803,-0.00006432,-0.00006335
2.2800,0.04618891,0.04619033,-0.00006401,-0.00006241
2.3000,0.06822124,0.06821555,-0.00006080,-0.00005885
2.3200,0.08810046,0.08808806,-0.00007540,-0.00007228
2.3400,0.05894018,0.05893208,-0.00008920,-0.00008742
2.3600,-0.02279526,-0.02279388,-0.00005170,-0.00005241
2.3800,-0.07049930,-0.07049020,-0.00000052,-0.00000290
2.4000,-0.02090528,-0.02089615,0.00003277,0.00003173
2.4200,0.11647194,0.11646989,0.00001772,0.00002148
2.4400,0.25220243,0.25218824,-0.00007754,-0.00006928
2.4600,0.23954733,0.23952888,-0.00019932,-0.00019155
2.4800,0.06719209,0.06718289,-0.00025066,-0.00024832
2.5000,-0.12805043,-0.12804589,-0.00023988,-0.00024391
2.5200,-0.24508307,-0.24506396,-0.00009598,-0.00010433
2.5400,-0.21062162,-0.21060421,0.00012589,0.00011938
2.5600,-0.04624315,-0.04623416,0.00031009,0.00030809
2.5800,0.13907920,0.13906938,0.00038222,0.00038697
2.6000,0.25184791,0.25182757,0.00025555,0.00026349
2.6200,0.25529006,0.25526905,-0.00001747,-0.00000924
2.6400,0.18218638,0.18217451,-0.00035681,-0.00035090
2.6600,0.07618901,0.07619139,-0.00061035,-0.00060777
2.6800,-0.06597407,-0.06596186,-0.00064625,-0.00064834
2.7000,-0.18287129,-0.18285219,-0.00037354,-0.00037970
2.7200,-0.16162010,-0.16161276,0.00000363,-0.00000093
2.7400,-0.10238477,-0.10238274,0.00039584,0.00039188
2.7600,-0.10408696,-0.10409351,0.00072748,0.00072483
2.7800,-0.11284319,-0.11284459,0.00080093,0.00079683
2.8000,-0.08334243,-0.08334108,0.00062089,0.00061818
2.8200,-0.00463114,-0.00462828,0.00023585,0.00023566
2.8400,0.10586998,0.10587186,-0.00020977,-0.00020664
2.8600,0.19352456,0.19351741,-0.00060395,-0.00059704
2.8800,0.15726607,0.15726019,-0.00079190,-0.00078729
2.9000,0.02794269,0.02793851,-0.00066556,-0.00066415
2.9200,-0.06225649,-0.06225381,-0.00036889,-0.00037112
2.9400,-0.07415661,-0.07414844,0.00005482,0.00005193
2.9600,0.00835355,0.00835505,0.00040753,0.00040861
2.9800,0.04695815,0.04695721,0.00055625,0.00055724
3.0000,-0.07610557,-0.07610827,0.00060511,0.00060303
3.0200,-0.21705560,-0.21705589,0.00044987,0.00044329
3.0400,-0.31415213,-0.31414179,0.00022152,0.00021080
3.0600,-0.33045517,-0.33043888,0.00009737,0.00008689
3.0800,-0.13647994,-0.13646417,-0.00000999,-0.00001456
3.1000,0.16831100,0.16831195,-0.00013116,-0.00012577
3.1200,0.33411793,0.33410352,-0.00020777,-0.00019655
3.1400,0.23848072,0.23846055,-0.00026168,-0.00025352
3.1600,-0.07624865,-0.07625567,-0.00020344,-0.00020610
3.1800,-0.36586165,-0.36585061,-0.00002385,-0.00003554
3.2000,-0.38480550,-0.38477941,0.00020040,0.00018724
3.2200,-0.11010483,-0.11008621,0.00038403,0.00038064
3.2400,0.23171924,0.23171758,0.00038889,0.00039622
3.2600,0.39100191,0.39098071,0.00024726,0.00025992
3.2800,0.33565860,0.33562601,-0.00008361,-0.00007233
3.3000,0.14705934,0.14704056,-0.00045029,-0.00044622
3.3200,-0.02765687,-0.02765915,-0.00068465,-0.00068498
3.3400,-0.10346500,-0.10344499,-0.00069575,-0.00069955
3.3600,-0.11724284,-0.11721909,-0.00041105,-0.00041453
3.3800,-0.10092547,-0.10091020,0.00003835,0.00003512
3.4000,-0.07132301,-0.07132435,0.00048172,0.00047931
3.4200,-0.03847405,-0.03848949,0.00074524,0.00074404
3.4400,0.00380993,0.00379456,0.00072789,0.00072780
3.4600,0.03488916,0.03488103,0.00043770,0.00043910
3.4800,0.00496708,0.00497453,0.00002784,0.00002774
3.5000,-0.04910398,-0.04908991,-0.00033162,-0.00033296
3.5200,-0.05070676,-0.05069522,-0.00055779,-0.00055947
3.5400,-0.01938273,-0.01938103,-0.00055347,-0.00055404
3.5600,-0.00477740,-0.00478367,-0.00032665,-0.00032657
3.5800,-0.02363821,-0.02364381,0.00001629,0.00001555
3.6000,-0.07223821,-0.07223791,0.00035296,0.00035065
3.6200,-0.10536605,-0.10535856,0.00056966,0.00056606
3.6400,-0.05883979,-0.05883254,0.00057613,0.00057403
3.6600,0.07141568,0.07141447,0.00035107,0.00035326
3.6800,0.20358887,0.20357738,-0.00003010,-0.00002366
3.7000,0.26733439,0.26731763,-0.00042853,-0.00041988
3.7200,0.24944123,0.24942653,-0.00074327,-0.00073498
3.7400,0.12777253,0.12776881,-0.00083901,-0.00083489
3.7600,-0.06640313,-0.06639408,-0.00062520,-0.00062712
3.7800,-0.22185741,-0.22183998,-0.00018208,-0.00018929
3.8000,-0.26431378,-0.26429776,0.00035079,0.00034218
3.8200,-0.19811550,-0.19810892,0.00078850,0.00078203
3.8400,-0.06291622,-0.06291999,0.00097282,0.00097059
3.8600,0.08899468,0.08898156,0.00079487,0.00079782
3.8800,0.17901654,0.17900328,0.00031611,0.00032172
3.9000,0.17060977,0.17060125,-0.00027351,-0.00026782
3.9200,0.09843845,0.09843911,-0.00077093,-0.00076777
3.9400,0.00998050,0.00998750,-0.00098450,-0.00098405
3.9600,-0.06124124,-0.06123173,-0.00083079,-0.00083273
3.9800,-0.08795106,-0.08794343,-0.00036752,-0.00037034
4.0000,-0.06860456,-0.06860290,0.00020447,0.00020232
4.0200,-0.03946506,-0.03946747,0.00068514,0.00068372
4.0400,-0.02654102,-0.02654686,0.00090241,0.00090172
4.0600,-0.03968941,-0.03969240,0.00079576,0.00079421
4.0800,-0.05323433,-0.05323468,0.00043643,0.00043478
4.1000,-0.02572153,-0.02571866,-0.00005241,-0.00005343
4.1200,0.05074165,0.05074413,-0.00048635,-0.00048479
4.1400,0.15423377,0.15423180,-0.00075462,-0.00074959
