t_s,Ux_T1_cm,Ux_T2_cm,Uy_T1_cm,Uy_T2_cm
0.0200,-0.00004380,-0.00004380,-0.00000000,-0.00000000
0.0400,-0.00023281,-0.00023280,0.00000009,0.00000008
0.0600,-0.00037228,-0.00037228,0.00000033,0.00000032
0.0800,-0.00033498,-0.00033496,0.00000039,0.00000038
0.1000,-0.00020813,-0.00020812,0.00000056,0.00000056
0.1200,-0.00012334,-0.00012334,0.00000048,0.00000047
0.1400,-0.00029013,-0.00029012,0.00000053,0.00000053
0.1600,-0.00069265,-0.00069264,0.00000053,0.00000051
0.1800,-0.00120922,-0.00120916,0.00000083,0.00000078
0.2000,-0.00158423,-0.00158418,0.00000131,0.00000126
0.2200,-0.00160670,-0.00160661,0.00000192,0.00000186
0.2400,-0.00119186,-0.00119180,0.00000239,0.00000235
0.2600,-0.00036849,-0.00036847,0.00000232,0.00000230
0.2800,0.00072254,0.00072250,0.00000147,0.00000149
0.3000,0.00195271,0.00195261,-0.00000035,-0.00000029
0.3200,0.00319538,0.00319524,-0.00000289,-0.00000279
0.3400,0.00443695,0.00443677,-0.00000580,-0.00000566
0.3600,0.00562909,0.00562888,-0.00000863,-0.00000845
0.3800,0.00638575,0.00638550,-0.00001075,-0.00001054
0.4000,0.00614632,0.00614608,-0.00001147,-0.00001128
0.4200,0.00457673,0.00457653,-0.00001035,-0.00001020
0.4400,0.00159458,0.00159451,-0.00000706,-0.00000701
0.4600,-0.00243630,-0.00243621,-0.00000152,-0.00000159
0.4800,-0.00691703,-0.00691675,0.00000565,0.00000543
0.5000,-0.01141830,-0.01141782,0.00001392,0.00001355
0.5200,-0.01519169,-0.01519107,0.00002201,0.00002153
0.5400,-0.01742914,-0.01742844,0.00002831,0.00002776
0.5600,-0.01776143,-0.01776074,0.00003158,0.00003102
0.5800,-0.01581262,-0.01581201,0.00003080,0.00003030
0.6000,-0.01155962,-0.01155920,0.00002517,0.00002480
0.6200,-0.00601874,-0.00601851,0.00001557,0.00001537
0.6400,0.00042137,0.00042136,0.00000348,0.00000349
0.6600,0.00881391,0.00881361,-0.00001040,-0.00001013
0.6800,0.01959638,0.01959565,-0.00002546,-0.00002484
0.7000,0.03061472,0.03061351,-0.00004060,-0.00003962
0.7200,0.03684211,0.03684057,-0.00005345,-0.00005227
0.7400,0.03317373,0.03317228,-0.00005947,-0.00005840
0.7600,0.01713396,0.01713307,-0.00005438,-0.00005379
0.7800,-0.01101901,-0.01101853,-0.00003165,-0.00003202
0.8000,-0.03898428,-0.03898243,0.00001071,0.00000947
0.8200,-0.04840022,-0.04839781,0.00005574,0.00005417
0.8400,-0.03642040,-0.03641840,0.00009193,0.00009072
0.8600,-0.01233504,-0.01233469,0.00010392,0.00010355
0.8800,0.01182796,0.01182702,0.00008242,0.00008275
0.9000,0.03012057,0.03011833,0.00002909,0.00003007
0.9200,0.04322312,0.04322070,-0.00004629,-0.00004492
0.9400,0.04789314,0.04789114,-0.00011838,-0.00011685
0.9600,0.04507332,0.04507241,-0.00015971,-0.00015831
0.9800,0.05022158,0.05022086,-0.00016484,-0.00016327
1.0000,0.07338427,0.07338258,-0.00014356,-0.00014132
1.0200,0.10684026,0.10683603,-0.00011224,-0.00010873
1.0400,0.10434103,0.10433493,-0.00009135,-0.00008780
1.0600,0.01143940,0.01143761,-0.00003534,-0.00003509
1.0800,-0.11452242,-0.11451949,0.00005581,0.00005238
1.1000,-0.17770943,-0.17770047,0.00013459,0.00012858
1.1200,-0.15737096,-0.15736209,0.00021846,0.00021349
1.1400,-0.08467742,-0.08467199,0.00025949,0.00025681
